"captured_at","fps","entity_count","entity_process_hz","entity_scan_hz","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 1:26:31","55.7388","17","15.24","1.362","49048","3555","369","157464","3.9638","0.0866","3.8772","normal","True","False","False"
"2026/6/25 1:26:33","55.7913","17","15.24","1.333","63633","4621","367","157464","3.2708","0.0808","3.19","normal","True","False","False"
"2026/6/25 1:26:35","55.7913","19","10.877","1.016","76220","5511","386","158919","3.3731","0.0799","3.2932","normal","True","False","False"
"2026/6/25 1:26:37","55.7913","19","10.877","1.642","90887","6604","383","158919","5.8495","0.0759","5.7736","normal","True","False","False"
"2026/6/25 1:26:39","49.9948","19","10.877","1.524","105680","7704","381","158919","4.973","0.0703","4.9027","normal","True","False","False"
"2026/6/25 1:26:41","49.9948","19","10.079","1.085","118510","8625","391","160590","3.8151","0.0714","3.7437","normal","True","False","False"
"2026/6/25 1:26:43","58.7956","19","10.079","1.362","132701","9533","388","160590","6.7678","0.0709","6.6969","normal","True","False","False"
"2026/6/25 1:26:45","58.7956","19","10.464","1.333","144174","10385","394","160590","3.7069","0.059","3.6479","normal","True","False","False"
"2026/6/25 1:26:47","58.7956","17","10.464","1.56","158445","11486","386","160590","3.7069","0.059","3.6479","normal","True","False","False"
"2026/6/25 1:26:49","13.1993","17","10.464","1.642","173297","12676","378","160590","3.7069","0.059","3.6479","normal","True","False","False"
"2026/6/25 1:26:51","13.1993","17","12.547","1.6","185871","13662","379","160590","3.7069","0.059","3.6479","normal","True","False","False"
"2026/6/25 1:26:53","0","17","12.547","1.73","200783","14886","373","160590","3.7069","0.059","3.6479","normal","True","False","False"
"2026/6/25 1:26:55","0","19","11.888","1.684","215691","16130","367","160590","3.7069","0.059","3.6479","normal","True","False","False"
"2026/6/25 1:26:57","0","19","11.888","1.727","228635","17210","368","160590","3.7069","0.059","3.6479","normal","True","False","False"
"2026/6/25 1:26:59","0","19","11.888","1.6","243671","18421","364","160590","2.5227","0.0581","2.4646","normal","True","False","False"
"2026/6/25 1:27:02","0","19","10.819","1.488","257707","19398","366","160590","6.0476","0.0547","5.9929","normal","True","False","False"
"2026/6/25 1:27:04","40.5427","19","10.819","1.639","271253","20402","369","160590","3.2089","0.0733","3.1356","normal","True","False","False"
"2026/6/25 1:27:06","40.5427","19","10.819","1.522","286218","21505","369","160590","3.8884","0.0744","3.814","normal","True","False","False"
"2026/6/25 1:27:08","40.5427","17","10.491","1.488","301100","22569","369","160590","4.153","0.0737","4.0793","normal","True","False","False"
"2026/6/25 1:27:10","58.5904","17","10.491","0.984","313123","23516","371","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:12","58.5904","17","10.491","1.938","327806","24705","367","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:14","0","17","10.848","1.73","342569","25912","364","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:16","0","19","10.848","1.56","354798","26948","366","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:18","0","19","11.601","1.73","369682","28157","363","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:20","0","19","11.601","1.779","384506","29351","360","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:22","0","19","11.601","1.684","397087","30315","361","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:24","0","19","12.151","1.6","411880","31507","358","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:26","0","19","12.151","1.828","426172","32650","356","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:28","0","17","12.308","1.639","439962","33764","356","160590","8.0518","0.0804","7.9714","normal","True","False","False"
"2026/6/25 1:27:30","0","17","12.308","1.684","455135","35059","354","160590","8.0518","0.0804","7.9714","normal","True","False","False"
