"captured_at","fps","entity_count","entity_process_hz","entity_scan_hz","view_matrix_ok","view_matrix_resolved","view_matrix_valid","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 2:20:33","59.9936","17","13.106","1","True","True","True","1920","1080","0","0","1920","1080","17","10","10","5","True","1410","552","19","34","160023","12129","395","160514","2.9152","0.0772","2.838","normal","True","False","False"
"2026/6/25 2:20:35","58.1932","19","13.106","1.524","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","175393","13417","392","160514","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:37","58.1932","19","13.474","1.684","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","187814","14431","399","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:39","0.799869","19","13.474","1.185","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","202089","15385","398","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:41","0.799869","19","13.812","1.422","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","216553","16403","396","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:43","0.799869","19","13.812","1","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","229042","17305","400","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:45","0","19","13.426","1.6","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","244164","18406","398","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:47","0","17","13.426","1.255","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","258281","19404","397","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:49","0","17","13.426","1.015","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","271211","20389","400","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:51","0","17","12.715","1.488","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","286175","21441","398","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:53","0","17","12.715","1.28","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","298938","22345","401","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:55","0","19","13.815","1.232","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","313452","23334","400","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:57","0","19","13.815","1.488","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","328341","24327","398","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:20:59","0","19","16.269","1.422","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","341371","25223","400","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:01","0","19","16.269","1.305","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","355285","26114","400","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:03","0","19","14.602","1.255","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","369914","27094","399","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:05","0","19","14.602","0.928","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","382503","27910","401","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:07","0","17","14.713","1.362","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","397504","28920","399","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:09","0","17","14.713","1.56","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","412119","30032","398","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:11","0","17","13.149","0.985","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","424656","30949","400","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:13","0","18","13.149","1.488","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","439032","32008","399","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:15","0","20","13.149","1.524","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","451723","33095","401","163587","3.4713","0.0624","3.4089","normal","True","False","False"
"2026/6/25 2:21:17","0","20","11.13","1.255","True","True","True","1920","1080","0","0","1920","1080","19","11","11","5","True","1411","552","18","33","465274","34066","401","163587","3.4713","0.0624","3.4089","normal","True","False","False"
