"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 7:33:31","0","0","17","5.801","0.36","6.41","234","17","62.5","15","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","443693","11021","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:32","0","0","17","5.801","0.325","4.255","218","17","62.5","15","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","451134","11021","342","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:33","0","0","17","5.801","0.325","3.367","0","17","66.666","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","458590","11486","342","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:34","0","0","17","4.77","0.325","5.319","78","17","62.5","0","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","465606","11486","341","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:35","0","0","17","4.77","0.388","8","297","17","5.813","94","True","True","True","0.005","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","470721","11554","342","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:36","0","0","17","4.77","0.388","10.752","94","17","62.5","15","True","True","True","0.001","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","477369","11963","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:37","0","0","17","4.77","0.388","9.09","265","17","62.5","15","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","484353","11971","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:38","0","0","19","4.77","0.372","8","110","19","66.666","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","491516","12132","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:39","0","0","19","4.77","0.372","4.926","188","19","62.5","0","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","498883","12442","342","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:40","0","0","19","4.77","0.372","4.273","156","19","62.5","15","True","True","True","0.005","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","504933","12450","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:41","0","0","19","4.77","0.32","7.092","375","19","66.666","16","True","True","True","0.002","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","510260","12549","344","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:42","0","0","19","4.77","0.32","7.092","62","19","66.666","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","517334","12897","344","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:43","0","0","19","4.77","0.32","5.347","63","19","62.5","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","524456","12917","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:44","0","0","19","4.77","0.346","5.347","31","19","62.5","15","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","531757","13083","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:45","0","0","19","5.462","0.346","4.926","16","19","62.5","16","True","True","True","0.006","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","539082","13366","343","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:46","0","0","19","5.462","0.346","4.566","31","19","62.5","15","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","546274","13373","342","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:47","0","0","19","5.462","0.326","5.813","515","19","7.092","15","True","True","True","0.002","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","551516","13551","344","164440","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:48","0","0","17","5.462","0.326","0.877","391","17","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","556915","13879","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:49","0","0","17","5.462","0.326","4.566","15","17","62.5","15","True","True","True","0.008","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","564120","14100","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:50","0","0","17","5.462","0.374","3.759","93","17","62.5","15","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","571197","14421","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:51","0","0","17","5.462","0.374","4.566","47","17","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","578624","14674","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:52","0","0","17","5.462","0.374","4.566","328","17","62.5","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","585816","14674","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:54","0","0","17","5.462","0.322","3.558","313","17","10.638","0","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","591613","14956","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:55","0","0","17","5.462","0.322","8","234","17","66.666","0","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","598945","15146","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:56","0","0","17","5.462","0.322","5.319","0","17","66.666","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","604714","15174","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:57","0","0","19","5.462","0.358","8","141","19","62.5","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","612153","15642","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:58","0","0","19","4.759","0.358","5.319","109","19","62.5","15","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","619337","15662","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:33:59","0","0","19","4.759","0.332","7.092","172","19","66.666","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","626594","15843","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:00","0","0","19","4.759","0.332","5.347","63","19","62.5","0","True","True","True","0.002","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","631903","16136","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:01","0","0","19","4.759","0.332","4.566","109","19","66.666","0","True","True","True","0.015","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","639040","16162","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:02","0","0","19","4.759","0.381","7.092","125","19","66.666","16","True","True","True","0.005","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","646209","16331","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:03","0","0","19","4.759","0.381","4.587","235","19","32.258","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","653572","16644","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:04","0","0","19","4.759","0.381","4.926","16","19","62.5","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","660783","16662","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:05","0","0","19","4.759","0.325","5.813","156","19","66.666","0","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","667908","16873","343","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:06","0","0","19","4.759","0.325","4.587","16","19","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","672615","17142","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:07","0","0","17","4.759","0.325","5.347","157","17","62.5","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","679767","17152","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:08","0","0","17","4.759","0.368","5.813","47","17","31.25","0","True","True","True","0.009","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","686944","17312","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:09","0","0","17","4.759","0.368","7.092","140","17","32.258","0","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","694303","17598","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:10","0","0","17","5.026","0.368","5.347","141","17","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","701439","17598","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:11","0","0","17","5.026","0.305","5.813","187","17","62.5","15","True","True","True","0.002","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","708589","17780","343","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:12","0","0","17","5.026","0.305","4.926","16","17","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","713519","18034","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:13","0","0","17","5.026","0.305","5.813","62","17","66.666","16","True","True","True","0.007","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","720465","18034","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:14","0","0","17","5.026","0.344","5.813","141","17","62.5","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","727832","18239","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:15","0","0","17","5.026","0.344","8","78","17","62.5","15","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","735182","18496","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:16","0","0","17","5.026","0.344","8","78","17","66.666","0","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","741359","18520","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:17","0","0","17","5.026","0.325","8","141","17","66.666","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","748600","18713","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:18","0","0","17","5.026","0.325","8","32","17","62.5","16","True","True","True","0.006","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","754319","18977","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:19","0","0","17","5.026","0.325","8","156","17","62.5","15","True","True","True","0.005","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","761427","19007","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:20","0","0","19","5.792","0.348","5.813","78","19","31.25","15","True","True","True","0.008","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","768728","19275","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:21","0","0","19","5.792","0.348","5.813","31","19","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","776005","19458","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:22","0","0","19","5.792","0.348","8","15","19","62.5","15","True","True","True","0.012","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","783175","19580","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:23","0","0","19","5.792","0.348","3.759","187","19","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","790691","19919","343","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:24","0","0","19","5.792","0.348","1.776","406","19","66.666","16","True","True","True","0.002","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","795269","19923","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:25","0","0","19","5.792","0.381","7.092","78","19","62.5","0","True","True","True","0.002","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","802547","20079","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:26","0","0","19","5.792","0.381","5.347","360","19","62.5","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","810028","20375","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:27","0","0","19","5.792","0.381","5.813","203","19","62.5","15","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","817146","20380","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:28","0","0","17","5.792","0.34","3.048","47","17","66.666","0","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","824681","20718","344","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:29","0","0","17","5.792","0.34","4.566","219","17","66.666","16","True","True","True","0.004","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","832116","20824","343","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:30","0","0","17","5.792","0.34","5.347","235","17","62.5","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","836963","20832","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
"2026/6/25 7:34:31","0","0","17","5.792","0.395","5.319","141","17","62.5","16","True","True","True","0.003","0.067","0","0","1920","1080","0","0","1920","1080","18","8","8","6","True","1494","547","20","36","843431","21161","345","592145","2.6985","0.088","2.6105","normal","True","False","False"
