"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 8:07:44","0","0","0","0","0","0","172","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/25 8:07:45","0","0","0","0","0","0","1219","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","2.5641","0.0277","2.5364","normal","False","False","True"
"2026/6/25 8:07:46","0","0","0","0","0","31.25","15","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","5525","1012","173","12942","2.6987","0.0297","2.669","normal","False","False","True"
"2026/6/25 8:07:47","0","0","0","35.545","0","32.258","16","0","66.666","16","0","0","0","0","0","0","0","True","True","True","0","0.003","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","13203","1510","162","12942","2.878","0.0331","2.8449","normal","False","False","True"
"2026/6/25 8:07:48","67.4213","67.4213","0","35.545","0","32.258","15","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.003","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","20270","1510","162","12942","2.8549","0.0299","2.825","normal","False","False","True"
"2026/6/25 8:07:49","58.6019","58.6019","0","35.885","0","32.258","15","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.003","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","28000","2362","163","12942","2.9333","0.0316","2.9017","normal","False","False","True"
"2026/6/25 8:07:50","0","0","0","35.885","0","21.739","16","0","66.666","16","0","0","0","0","0","0","0","True","True","True","0","0.003","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","35750","3014","169","12942","2.8035","0.0318","2.7717","normal","False","False","True"
"2026/6/25 8:07:51","69.3741","69.3741","0","39.604","0","21.276","0","0","62.5","16","0","0","0","0","0","0","0","True","True","True","0","0.003","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","40776","3019","195","159393","2.7808","0.0244","2.7564","normal","False","False","True"
"2026/6/25 8:07:52","0","0","0","34.904","0","62.5","15","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.003","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","47955","3019","198","159393","2.7497","0.0312","2.7185","normal","False","False","True"
"2026/6/25 8:07:53","0","0","0","34.904","0.309","31.25","15","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.003","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","56373","4525","193","159393","2.7285","0.029","2.6995","normal","False","False","True"
"2026/6/25 8:07:54","0","0","0","39.578","0.309","66.666","16","0","66.666","16","0","0","0","0","0","0","0","True","True","True","0.001","0.006","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","63497","4525","196","159393","6.2806","0.0278","6.2528","normal","False","False","True"
"2026/6/25 8:07:55","0","0","0","40.431","0.309","21.276","0","0","62.5","16","0","0","0","0","0","0","0","True","True","True","0","0.006","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","70564","4525","198","159393","3.7796","0.0309","3.7487","normal","False","False","True"
"2026/6/25 8:07:56","0","0","0","40.431","0.271","21.276","62","0","31.25","62","0","0","0","0","0","0","0","True","True","True","0","0.006","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","78104","5369","196","159393","2.6611","0.0201","2.641","normal","False","False","True"
"2026/6/25 8:07:57","0","0","0","33.389","0.271","62.5","15","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.006","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","83645","6033","207","159393","2.7928","0.0276","2.7652","normal","False","False","True"
"2026/6/25 8:07:58","0","0","0","40","0.271","62.5","31","0","66.666","188","0","0","0","0","0","0","0","False","True","False","0","0.006","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","90832","6033","207","159393","3.0149","0.0288","2.9861","normal","False","False","True"
