"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:09:57","0","0","0","0","0","0","375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.001","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","18.896","3.9597","14.9363","normal","False","False","True"
"2026/6/25 19:10:00","59.8867","59.8867","0","0","0","32.258","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","62.5","0","0","0","0","0","0","0","0","True","True","True","0","0.001","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","9877","415","197","12236","3.473","0.0293","3.4437","normal","False","False","True"
"2026/6/25 19:10:02","58.8566","58.8566","17","40.844","0","5.347","188","17","0.512033","0.512033","0.512033","0.512033","2","0","1947.72","24","0","1","194.58","1318","2","0","0.002","0.03","12.478","0.003","23.546","0","0.003","0","14.278","75.934","29.176","0.496","0.011","66","66","0","0","12","8","112","33108","0","0","51","62.5","16","16","16","70","0","0","0","0","True","True","True","0.002","0.01","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1158","518","19","34","24045","818","267","12236","3.7243","0.0801","3.6442","normal","True","False","False"
"2026/6/25 19:10:04","59.7291","59.7291","17","40.844","0.508","16.129","157","17","0.905797","0.905797","0.301932","0.301932","11","0","3298.09","26","47","2","67.537","487","1","0","0.003","0.016","2.958","0.001","8.304","0","0","0","9.178","19.508","5.692","0.113","0.011","67","67","0","0","12","8","109","33108","0","0","30","62.5","0","0","156","191","0","10","8","7","True","True","True","0.001","0.012","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1059","509","21","37","36360","954","328","158970","3.8524","0.0765","3.7759","normal","True","False","False"
"2026/6/25 19:10:06","58.8548","58.8548","18","40.844","0.508","5.319","265","18","0.905797","0.905797","0.301932","0.301932","11","0","3298.09","26","47","2","185.143","1291","0","0","0.002","0.015","10.44","0","38.681","0","0.001","0","19.331","36.529","19.166","3.591","0.013","74","74","0","0","12","10","134","35040","0","0","24","66.666","0","0","156","311","0","10","8","7","True","True","True","0.002","0.012","0","0","1920","1080","0","0","1920","1080","18","5","5","9","True","1008","493","24","43","50453","1237","341","158970","3.7169","0.0825","3.6344","normal","True","False","False"
"2026/6/25 19:10:08","0","0","19","40.844","0.298","5.813","188","19","3.06185","3.06185","0.306185","0.306185","22","0","3209.24","28","63","3","165.045","1147","6","0","0.001","0.013","7.82","0.993","31.914","0","0","0","30.782","33.075","9.48","0.989","0.009","78","78","0","0","12","12","160","35328","1","0","30","62.5","0","0","156","391","0","10","8","7","True","True","True","0.002","0.012","0.001","0.001","1920","1080","0","0","1920","1080","19","5","5","10","True","988","473","28","52","64045","1487","351","158970","4.3004","0.0697","4.2307","normal","True","False","False"
"2026/6/25 19:10:10","59.9568","59.9568","20","7.442","0.298","4","156","20","3.06185","3.06185","0.306185","0.306185","22","0","3209.24","28","63","3","238.989","1675","2","0","0.002","0.013","12.295","0.003","39.614","0","0.003","0","16.189","54.162","22.399","38.747","0.01","76","76","0","0","11","13","172","35328","0","0","39","62.5","15","0","156","457","0","10","8","7","True","True","True","0.002","0.012","0.001","0.001","1920","1080","0","0","1920","1080","20","5","5","11","True","1200","431","37","67","76336","1660","373","158970","5.7887","0.0668","5.7219","normal","True","False","False"
"2026/6/25 19:10:12","58.4859","58.4859","20","7.442","0.305","4.255","46","20","3.21371","3.21371","0.267809","0.267809","26","0","3655.45","28","16","4","240.207","1701","2","0","0.002","0.013","23.469","0.002","32.34","0","0","0","21.944","35.745","15.699","46.124","0.012","78","78","0","0","11","13","170","35328","0","0","39","62.5","15","15","156","555","0","10","8","7","True","True","True","0.004","0.037","0.001","0.001","1920","1080","0","0","1920","1080","20","5","5","11","True","1526","371","50","90","90550","2075","375","158970","3.4009","0.0622","3.3387","normal","True","False","False"
"2026/6/25 19:10:14","59.8526","59.8526","18","7.442","0.305","5.813","109","18","3.21371","3.21371","0.267809","0.267809","26","0","3655.45","28","16","4","159.554","1141","5","0","0.002","0.012","18.299","0.001","37.173","0","0","0","13.047","36.417","10.097","0.443","0.009","78","78","0","0","11","13","167","35328","0","0","33","66.666","0","15","156","675","0","10","8","7","True","True","True","0.003","0.037","0.001","0.001","1920","1080","0","0","1920","1080","18","4","4","12","True","1384","513","15","27","104425","2101","379","158970","3.1932","0.0678","3.1254","normal","True","False","False"
"2026/6/25 19:10:16","59.8734","59.8734","19","7.442","0.272","6.369","62","19","1.49522","1.49522","0.299043","0.299043","39","0","3330.05","27","62","5","162.27","1126","1","0","0.002","0.018","14.615","0.001","26.666","0","0.001","0","14.982","37.044","14.4","0.577","0.014","80","80","0","0","12","11","133","36972","0","0","33","62.5","0","0","156","796","0","10","8","7","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","5","5","12","True","1384","513","15","27","118518","2503","381","158970","3.3483","0.066","3.2823","normal","True","False","False"
"2026/6/25 19:10:18","60.0711","60.0711","19","7.442","0.292","7.142","94","19","3.9818","3.9818","0.284414","0.284414","44","0","3421.39","27","31","6","149.391","1084","40","0","0.002","0.014","10.401","0.002","29.586","0","0.001","0","12.099","35.932","7.848","0.484","0.008","80","80","0","0","12","11","133","33108","2","0","33","62.5","0","0","156","916","0","10","8","7","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","5","5","10","True","1384","513","15","27","132645","2684","383","158970","3.0763","0.0626","3.0137","normal","True","False","False"
"2026/6/25 19:10:20","59.9862","59.9862","19","7.442","0.292","8","32","19","3.9818","3.9818","0.284414","0.284414","44","0","3421.39","27","31","6","132.111","931","1","0","0.001","0.014","12.23","0.001","28.523","0","0","0","11.424","24.625","10.762","0.306","0.009","80","80","0","0","12","11","133","33108","2","0","33","62.5","0","0","156","1035","0","18","15","13","True","True","True","0.002","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","5","5","10","True","1384","513","15","27","144821","2922","393","158970","3.6683","0.0682","3.6001","normal","True","False","False"
"2026/6/25 19:10:22","59.8903","59.8903","18","4.741","0.29","9.174","47","18","1.6","1.6","0.266667","0.266667","47","0","3718.55","27","15","7","103.567","718","9","0","0.002","0.015","7.556","0","19.954","0","0.002","0","11.76","16.677","9.739","0.301","0.009","70","70","0","0","13","10","136","33264","0","0","18","66.666","0","15","156","1156","0","18","15","13","True","True","True","0.005","0.037","0.001","0.001","1920","1080","0","0","1920","1080","18","5","5","10","True","1384","513","15","27","158897","3177","393","158970","7.7156","0.0733","7.6423","normal","True","False","False"
"2026/6/25 19:10:24","58.6137","58.6137","18","4.741","0.29","8","109","18","1.6","1.6","0.266667","0.266667","47","0","3718.55","27","15","7","122.119","865","9","0","0.002","0.015","6.071","0","23.515","0","0","0","14.303","24.124","10.456","0.123","0.013","70","70","0","0","13","10","136","33264","0","0","18","62.5","0","0","156","1276","0","18","15","13","True","True","True","0.002","0.037","0.001","0.001","1920","1080","0","0","1920","1080","18","5","5","10","True","1384","513","15","27","173170","3463","393","158970","7.5993","0.0685","7.5308","normal","True","False","False"
"2026/6/25 19:10:26","59.8387","59.8387","20","4.741","0.268","5.813","109","20","1.09409","1.09409","0.273523","0.273523","54","0","3639.12","30","31","8","169.596","1289","77","0","0.002","0.019","17.509","0","29.077","0","0.001","0","19.825","31.162","12.547","0.67","0.009","78","78","0","0","12","14","184","36972","0","0","33","62.5","15","16","156","1397","0","26","23","20","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","20","5","5","12","True","1384","513","15","27","186522","3911","397","159942","10.3991","0.0642","10.3349","normal","True","False","False"
