"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:21:40","59.6696","59.6696","17","7.385","0.274","5.847","141","17","0.226963","0.226963","0.226963","0.226963","0","0","0","4410.1","28","8062","3","168.676","1116","1","0","0.002","0.018","9.435","0.001","33.617","0","0.001","0","18.657","46.198","13.876","0.301","0.01","79","79","0","0","12","12","157","36972","0","0","30","62.5","0","0","188","597","0","20","17","15","True","True","True","0.004","0.018","0","0","1920","1080","0","0","1920","1080","17","5","5","11","True","1384","513","15","27","81178","1726","399","164600","5.6277","0.0565","5.5712","normal","True","False","False"
"2026/6/25 19:21:42","61.3184","61.3184","17","7.385","0.226","5.813","110","17","0.275862","0.275862","0.275862","0.275862","0","0","0","3611.52","28","11687","4","158.158","1128","16","0","0.002","0.015","10.516","0","27.895","0","0.002","0","15.874","26.997","16.248","0.314","0.015","79","79","0","0","12","12","157","36972","0","0","30","62.5","0","0","188","721","0","20","17","15","True","True","True","0.003","0.018","0","0","1920","1080","0","0","1920","1080","17","5","5","11","True","1384","513","15","27","95765","1917","396","164600","9.3726","0.076","9.2966","normal","True","False","False"
"2026/6/25 19:21:44","61.2519","61.2519","17","7.385","0.226","5.347","94","17","0.275862","0.275862","0.275862","0.275862","0","0","0","3611.52","28","11687","4","188.401","1311","2","0","0.002","0.023","8.017","0","26.45","0","0.003","0","15.853","30.169","14.913","29.033","0.011","78","78","0","0","12","12","160","36972","0","0","36","66.666","0","0","188","842","0","20","17","15","True","True","True","0.002","0.018","0","0","1920","1080","0","0","1920","1080","17","5","5","11","True","1384","513","15","27","109757","2134","395","164600","4.7181","0.0891","4.629","normal","True","False","False"
"2026/6/25 19:21:46","61.2475","61.2475","17","7.385","0.277","5.813","281","17","0.312207","0.312207","0.312207","0.312207","0","0","0","3199.1","26","14890","5","176.634","1201","0","0","0.002","0.023","16.84","0","35.221","0.002","0.002","0","15.578","42.708","13.744","0.589","0.007","78","76","0","0","11","11","132","35040","0","0","42","66.666","16","16","188","963","0","20","17","15","True","True","True","0.001","0.018","0","0","1920","1080","0","0","1920","1080","17","5","5","9","True","1384","513","15","27","124022","2521","393","164600","5.7793","0.081","5.6983","normal","True","False","False"
"2026/6/25 19:21:48","59.8599","59.8599","17","7.385","0.312","4.566","16","17","0.331565","0.331565","0.331565","0.331565","0","0","0","3004.35","26","17906","6","221.394","1575","37","0","0.001","0.017","7.678","5.445","22.465","0","0.003","0","14.979","74.901","38.232","0.294","0.01","78","78","0","0","12","10","120","31464","3","0","57","62.5","0","0","188","1083","0","20","17","15","True","True","True","0.002","0.018","0","0","1920","1080","0","0","1920","1080","17","4","4","9","True","1384","513","15","27","138154","2753","393","164600","4.1765","0.0821","4.0944","normal","True","False","False"
"2026/6/25 19:21:50","59.948","59.948","17","4.842","0.312","7.142","188","17","0.331565","0.331565","0.331565","0.331565","0","0","0","3004.35","26","17906","6","149.269","1051","4","0","0.002","0.013","10.724","0.907","20.707","0","0.002","0","16.692","24.925","16.377","0.505","0.011","66","66","0","0","12","10","136","31464","1","0","18","62.5","0","16","188","1203","0","30","24","21","True","True","True","0.003","0.018","0","0","1920","1080","0","0","1920","1080","17","5","5","8","True","1818","485","26","47","149953","2997","400","164600","5.28","0.0782","5.2018","normal","True","False","False"
"2026/6/25 19:21:52","59.911","59.911","20","4.842","0.332","5.813","15","20","0.285714","0.285714","0.285714","0.285714","0","0","0","3498.82","28","21406","7","161.359","1187","92","0","0.002","0.015","11.386","0.002","17.121","0","0","0","16.462","51.419","17.178","0.326","0.011","68","68","0","0","11","13","173","31464","0","0","48","66.666","0","0","188","1324","0","30","24","21","True","True","True","0.003","0.018","0","0","1920","1080","0","0","1920","1080","20","5","5","11","True","1579","504","22","40","164094","3456","400","164600","5.7646","0.0838","5.6808","normal","True","False","False"
"2026/6/25 19:21:54","61.0717","61.0717","20","4.842","0.332","3.048","16","20","0.285714","0.285714","0.285714","0.285714","0","0","0","3498.82","28","21406","7","332.134","1042","5","0","0.002","0.017","8.942","0.001","20.039","0","0.001","0","40.449","29.938","12.684","0.598","0.009","68","68","0","0","11","13","173","31464","0","0","30","62.5","0","0","188","1444","0","40","32","28","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","20","5","5","11","True","1421","515","20","36","176868","3510","403","164600","10.3728","0.0768","10.296","normal","True","False","False"
"2026/6/25 19:21:56","60.0902","60.0902","21","4.842","0.286","5.319","125","21","0.306185","0.306185","0.306185","0.306185","0","0","0","3263.73","31","24672","8","183.527","1290","5","0","0.002","0.015","13.899","0.001","25.639","0","0","0","28.159","36.019","18.659","0.461","0.011","80","80","0","0","12","15","197","36972","0","0","36","62.5","16","0","188","1565","0","40","32","28","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","21","6","6","11","True","1286","524","18","32","191286","3952","401","164600","5.5162","0.0776","5.4386","normal","True","False","False"
"2026/6/25 19:21:58","58.9633","58.9633","21","4.842","0.306","4.587","125","21","0.306279","0.306279","0.306279","0.306279","0","0","0","3263.61","29","27937","9","216.006","1600","48","0","0.001","0.016","16.693","0.001","22.961","0","0","0","35.182","30.892","19.668","27.585","0.012","80","80","0","0","12","13","173","36972","0","0","39","62.5","15","15","188","1686","0","40","32","28","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","21","6","6","11","True","1180","520","19","34","205368","4172","401","164600","10.5421","0.085","10.4571","normal","True","False","False"
