"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:46:55","59.8259","59.8259","19","15.544","0.362","12.82","16","19","0.561482","0.561482","0.561482","0.561482","0","0","0","1762.52","23","0","5","1099","21","1","17","0","67.26","453","1","0","0.002","0.018","2.217","0.001","0.399","0","0","0","8.337","0","0","27.184","0.013","69","69","0","0","17","2","37","36972","0","0","6","62.5","0","0","156","579","0","18","15","13","True","True","True","0.002","0.014","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","567","23","43","74041","3073","407","160946","5.4203","0.1119","5.3084","normal","True","False","False"
"2026/6/25 19:46:57","61.1306","61.1306","19","16.484","0.508","32.258","16","19","0.592417","0.592417","0.592417","0.592417","0","0","0","1678.79","23","0","7","1110","21","1","17","0","27.026","215","36","0","0.003","0.023","1.445","0.001","0.002","0","0","0","6.418","0","0","0.679","0.011","51","51","0","0","17","2","40","36972","0","0","0","62.5","0","0","156","703","0","18","15","13","True","True","True","0.003","0.014","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","88709","3668","402","160946","10.3769","0.0921","10.2848","normal","True","False","False"
"2026/6/25 19:46:59","59.623","59.623","19","16.484","0.592","32.258","31","19","0.571429","0.571429","0.571429","0.571429","0","0","0","1749.02","23","0","8","1088","21","1","17","0","31.374","203","6","0","0.002","0.023","1.509","0","0.003","0","0","0","7.499","0","0","0.282","0.016","68","68","0","0","17","2","40","36972","0","0","0","66.666","16","15","156","824","0","18","15","13","True","True","True","0.002","0.014","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","567","24","43","102773","4291","398","160946","5.5578","0.0971","5.4607","normal","True","False","False"
"2026/6/25 19:47:01","59.9754","59.9754","19","18.916","0.571","21.276","31","19","0.556483","0.556483","0.556483","0.556483","0","0","0","1790.91","23","0","9","1101","21","1","17","0","41.16","283","7","0","0.001","0.017","3.053","0.002","0.481","0","0","0","12.926","0","0","0.582","0.012","52","52","0","0","17","2","37","36972","0","0","0","62.5","0","0","156","945","0","18","15","13","True","True","True","0.002","0.014","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","567","23","43","116608","4845","396","160946","5.979","0.0865","5.8925","normal","True","False","False"
"2026/6/25 19:47:03","61.2223","61.2223","17","20","0.557","21.276","16","17","0.542299","0.542299","0.542299","0.542299","0","0","0","1839.06","21","0","10","1105","21","1","17","0","45.176","332","17","0","0.001","0.02","1.323","0","0","0","0","0","13.332","0","0","3.536","0.009","51","51","0","0","17","0","0","36972","0","0","0","62.5","0","0","156","1066","0","18","15","13","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","578","567","24","43","130698","5391","394","160946","5.2355","0.0848","5.1507","normal","True","False","False"
"2026/6/25 19:47:05","60.127","60.127","17","20","0.542","32.258","62","17","0.561482","0.561482","0.561482","0.561482","0","0","0","1774.05","21","0","11","1084","21","1","17","0","32.221","202","5","0","0.001","0.016","1.398","0","0","0","0","0","8.544","0","0","0.667","0.012","51","51","0","0","17","0","0","36972","0","0","0","66.666","0","0","156","1187","0","29","23","20","True","True","True","0.005","0.025","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","578","567","24","43","142340","5817","401","160946","5.561","0.1217","5.4393","normal","True","False","False"
"2026/6/25 19:47:07","59.9395","59.9395","17","19.2","0.561","21.276","0","17","0.463822","0.463822","0.463822","0.463822","0","0","0","2145.76","21","0","12","1109","21","1","17","0","46.649","379","53","0","0.002","0.027","2.223","1","0","0","0.001","0","9.374","0","0","0.327","0.01","51","51","0","0","17","0","0","33108","2","0","0","62.5","0","0","156","1308","0","29","23","20","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","578","567","23","43","156357","6357","399","160946","4.9969","0.0826","4.9143","normal","True","False","False"
"2026/6/25 19:47:09","59.8992","59.8992","17","21.818","0.467","15.873","0","17","0.507872","0.507872","0.507872","0.507872","0","0","0","1960.8","21","0","13","1111","21","1","17","0","50.254","451","100","0","0.002","0.018","3.221","1.403","2.512","0","0","0.014","7.674","3.894","3.83","0.306","0.01","66","66","0","0","16","1","12","31464","3","0","3","62.5","16","16","156","1428","0","29","23","20","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","8","8","5","True","578","567","24","43","170272","6911","397","160946","5.4108","0.0821","5.3287","normal","True","False","False"
"2026/6/25 19:47:11","61.2119","61.2119","17","21.818","0.508","16.129","47","17","0.512033","0.512033","0.512033","0.512033","0","0","0","1957.16","21","0","14","1108","19","1","15","0","55.476","458","72","0","0.001","0.017","2.082","0.605","0.863","0","0","0","4.727","0","0","23.923","0.012","46","46","0","0","15","2","37","31464","1","0","6","62.5","15","16","156","1548","0","38","31","27","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","8","8","5","True","578","567","24","43","183109","7535","400","160946","4.1829","0.0894","4.0935","normal","True","False","False"
"2026/6/25 19:47:13","59.918","59.918","21","17.694","0.508","21.276","78","21","0.551876","0.551876","0.551876","0.551876","0","0","0","1796.37","23","0","15","1112","21","1","17","0","58.631","381","2","0","0.002","0.019","3.181","0.002","4.451","0","0","0","12.741","0.661","3.481","1.228","0.015","71","71","0","0","17","2","33","36972","0","0","3","66.666","0","0","156","1669","0","38","31","27","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","21","12","12","5","True","578","567","23","43","197056","8065","398","160946","5.4985","0.0928","5.4057","normal","True","False","False"
