"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","candidate_backoff_enabled","candidate_backoff_active_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:58:49","59.9198","59.9198","17","22.857","0.485","32.258","0","17","0.542299","0.542299","0.542299","0.542299","0","0","0","1829.43","22","0","7","1089","21","1","17","0","26.387","169","0","0","0.001","0.023","1.383","0","0","0","0","0","8.248","0","0","0.128","0.009","68","68","0","0","17","0","0","1","1","1","0","0","36972","0","0","0","62.5","15","15","172","688","0","20","16","14","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","578","566","24","43","85664","3456","381","161966","6.8757","0.098","6.7777","normal","True","False","False"
"2026/6/25 19:58:51","58.5555","58.5555","17","22.857","0.547","32.258","31","17","0.551876","0.551876","0.551876","0.551876","0","0","0","1811.79","21","0","8","1099","21","1","17","0","25.769","175","6","0","0.002","0.018","1.486","0.304","0","0","0","0","6.55","0","0","0.291","0.009","67","67","0","0","17","0","0","1","1","0","0","0","35328","1","0","0","62.5","15","0","172","812","0","20","16","14","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","17","10","10","5","True","578","567","24","43","99994","3960","380","161966","3.6257","0.0805","3.5452","normal","True","False","False"
"2026/6/25 19:58:53","59.7068","59.7068","17","22.33","0.552","32.258","16","17","0.48852","0.48852","0.48852","0.48852","0","0","0","2046.54","21","0","9","1114","21","1","17","0","23.187","153","3","0","0.001","0.017","1.391","0","0","0","0","0","6.939","0","0","0.375","0.012","64","64","0","0","16","0","0","1","2","1","0","0","35328","0","0","0","62.5","0","0","172","933","0","20","16","14","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","10","10","5","True","578","567","24","43","113704","4421","380","161966","3.7738","0.0889","3.6849","normal","True","False","False"
"2026/6/25 19:58:55","59.9334","59.9334","18","25.597","0.485","12.82","16","18","0.507872","0.507872","0.507872","0.507872","0","0","0","1964.94","21","0","10","1089","20","1","16","0","73.352","481","8","0","0.003","0.019","2.343","0.635","3.503","0","0","0","9.816","0.704","1.015","31.07","0.012","52","52","0","0","16","1","13","1","1","0","0","0","31464","2","0","9","62.5","0","0","172","1054","0","20","16","14","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","18","9","9","5","True","578","566","24","43","127740","4930","379","161966","7.8184","0.0942","7.7242","normal","True","False","False"
"2026/6/25 19:58:57","60.1295","60.1295","19","25.597","0.508","32.258","0","19","0.402576","0.402576","0.402576","0.402576","0","0","0","2479.93","22","0","11","1113","21","1","17","0","27.315","223","37","0","0.002","0.028","1.539","0","3.529","0","0","0","2.966","0.87","0.934","0.115","0.009","61","61","0","0","15","1","13","1","3","2","0","0","33108","0","0","3","66.666","0","0","172","1175","0","33","27","23","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","19","10","10","5","True","578","567","24","43","139173","5330","389","161966","3.7108","0.097","3.6138","normal","True","False","False"
"2026/6/25 19:58:59","60.0864","60.0864","19","18.826","0.403","16.129","16","19","0.477555","0.477555","0.477555","0.477555","0","0","0","2079.97","24","0","12","1122","21","1","17","0","53.924","372","1","0","0.002","0.017","2.625","0.001","8.711","0","0","0","10.27","3.749","3.159","0.3","0.009","62","62","0","0","14","2","25","1","3","2","0","0","33108","0","0","6","66.666","16","0","172","1295","0","33","27","23","True","True","True","0.006","0.025","0","0","1920","1080","0","0","1920","1080","19","10","10","5","True","578","567","24","43","152898","5775","388","161966","3.9099","0.066","3.8439","normal","True","False","False"
"2026/6/25 19:59:01","59.7578","59.7578","21","21.567","0.481","32.258","15","21","0.520291","0.520291","0.520291","0.520291","0","0","0","1914.67","24","0","13","1116","21","1","17","0","28.32","213","24","0","0.002","0.015","1.907","0","0.875","0","0","0","7.038","0.597","0.628","0.457","0.01","53","53","0","0","17","1","13","1","3","2","0","0","36972","0","0","3","66.666","0","16","172","1416","0","33","27","23","True","True","True","0.005","0.025","0","0","1920","1080","0","0","1920","1080","21","12","12","5","True","578","566","24","43","166925","6371","386","161966","3.1332","0.0819","3.0513","normal","True","False","False"
"2026/6/25 19:59:03","59.9484","59.9484","21","21.567","0.52","32.258","16","21","0.484731","0.484731","0.484731","0.484731","0","0","0","2052.89","24","0","14","1099","21","1","17","0","36.626","287","46","0","0.002","0.014","1.751","0","1.266","0","0","0","8.626","2.432","1.051","0.303","0.014","53","53","0","0","17","1","13","1","3","2","0","0","36972","0","0","3","62.5","0","0","172","1537","0","42","35","30","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","21","12","12","5","True","578","567","24","43","179899","6854","389","161966","3.7275","0.0915","3.636","normal","True","False","False"
"2026/6/25 19:59:06","59.7578","59.7578","21","18.462","0.485","32.258","0","21","0.537924","0.537924","0.537924","0.537924","0","0","0","1860.45","24","0","15","1095","21","1","17","0","33.366","221","4","0","0.002","0.016","1.571","0","2.35","0","0","0","7.869","0.988","1.38","0.616","0.011","69","69","0","0","17","1","13","1","3","2","0","0","36972","0","0","3","62.5","0","0","172","1658","0","42","35","30","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","21","12","12","5","True","578","567","23","43","193838","7429","388","161966","8.3722","0.106","8.2662","normal","True","False","False"
"2026/6/25 19:59:08","59.7776","59.7776","20","18.553","0.538","16.129","32","20","0.533333","0.533333","0.533333","0.533333","0","0","0","1868.25","23","0","16","1100","21","1","17","0","59.692","439","15","0","0.001","0.014","1.368","0","4.022","0","0","0","15.542","2.275","3.03","0.425","0.009","52","52","0","0","16","1","12","1","3","2","0","0","36972","0","0","3","62.5","16","16","172","1778","0","42","35","30","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","20","12","12","5","True","578","566","24","43","208106","7969","386","161966","7.8831","0.0689","7.8142","normal","True","False","False"
