"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","candidate_backoff_enabled","candidate_backoff_min_failures","candidate_backoff_active_count","candidate_backoff_blocked_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_soft_failure_count","candidate_backoff_probe_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 20:20:07","61.3876","61.3876","17","19.108","0.504","21.739","32","17","0.547046","0.547046","0.547046","0.547046","0","0","0","1817.2","21","0","4","1075","21","1","17","0","46.318","340","32","0","0.002","0.023","2.323","1.395","0","0","0","0","12.999","0","0.001","1.13","0.008","68","68","0","0","17","0","0","1","1","0","0","0","0","0","0","0","33108","2","0","0","62.5","0","0","156","377","0","10","8","6","True","True","True","0.004","0.012","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","1250","600","16","29","50790","1987","373","161078","9.7291","0.0917","9.6374","normal","True","False","False"
"2026/6/25 20:20:09","60.1184","60.1184","17","19.487","0.552","32.258","63","17","0.566251","0.566251","0.566251","0.566251","0","0","0","1754.35","21","0","5","1097","21","1","17","0","41.525","285","0","0","0.002","0.016","2.767","3.079","0","0","0","0","7.652","0","0","0.52","0.009","51","51","0","0","17","0","0","1","1","0","0","0","0","0","0","0","33108","2","0","0","62.5","0","0","156","501","0","10","8","6","True","True","True","0.002","0.012","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","1251","600","16","29","65434","2383","374","161078","5.6035","0.079","5.5245","normal","True","False","False"
"2026/6/25 20:20:11","59.9413","59.9413","17","19.299","0.566","32.258","15","17","0.504032","0.504032","0.504032","0.504032","0","0","0","1982.78","21","0","6","1088","19","1","15","0","43.756","295","0","0","0.002","0.016","2.021","0.001","0","0","0","0","9.513","0","0","0.332","0.009","45","45","0","0","15","0","0","1","1","2","2","2","0","0","0","0","33108","0","0","0","62.5","15","15","172","622","0","21","18","14","True","True","True","0.002","0.012","0","0","1920","1080","0","0","1920","1080","17","11","11","3","True","1895","683","30","42","77244","2804","389","162516","5.2513","0.096","5.1553","normal","True","False","False"
"2026/6/25 20:20:13","58.7994","58.7994","19","19.299","0.504","32.258","31","19","0.566251","0.566251","0.566251","0.566251","0","0","0","1770.28","23","0","7","1098","21","1","17","0","37.965","251","0","0","0.002","0.02","1.361","0","0","0","0","0","14.393","0","0","2.417","0.01","68","68","0","0","17","0","0","1","1","2","2","2","0","0","0","0","36972","0","0","0","62.5","0","0","172","743","0","21","18","14","True","True","True","0.002","0.012","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1627","622","27","50","91153","3211","389","162516","10.3296","0.092","10.2376","normal","True","False","False"
"2026/6/25 20:20:15","60.2809","60.2809","19","20.209","0.582","32.258","47","19","0.566251","0.566251","0.566251","0.566251","0","0","0","1758.73","23","0","9","1078","21","1","17","0","30.589","209","0","0","0.002","0.025","1.354","0","0","0","0","0","9.41","0","0","8.491","0.007","68","68","0","0","17","0","0","1","1","2","2","2","0","0","0","0","36972","0","0","0","62.5","16","0","172","863","0","21","18","14","True","True","True","0.001","0.024","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1624","623","27","48","104784","3613","389","162516","5.1459","0.0834","5.0625","normal","True","False","False"
"2026/6/25 20:20:17","59.9244","59.9244","19","20.761","0.566","21.276","15","19","0.587199","0.587199","0.587199","0.587199","0","0","0","1701.92","23","0","10","1086","21","1","17","0","47.613","334","13","0","0.002","0.02","2","0","0","0","0","0","13.558","0","0","0.996","0.01","51","51","0","0","17","0","0","1","1","2","2","2","0","0","0","0","36972","0","0","0","62.5","15","0","172","984","0","21","18","14","True","True","True","0.003","0.024","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1880","676","30","55","118771","4115","389","162516","10.6634","0.1018","10.5616","normal","True","False","False"
"2026/6/25 20:20:19","61.0666","61.0666","19","20.761","0.582","32.258","16","19","0.566251","0.566251","0.566251","0.566251","0","0","0","1751.75","23","0","11","1091","21","1","17","0","19.782","151","10","0","0.003","0.022","1.169","0","0","0","0","0","4.239","0","0","0.115","0.01","51","51","0","0","17","0","0","1","1","2","2","2","0","0","0","0","36972","0","0","0","62.5","0","0","172","1105","0","21","18","14","True","True","True","0.001","0.024","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","600","16","28","132763","4629","388","162516","4.9832","0.0855","4.8977","normal","True","False","False"
"2026/6/25 20:20:21","61.1495","61.1495","19","20.979","0.571","32.258","32","19","0.492368","0.492368","0.492368","0.492368","0","0","0","2027.6","23","0","12","1081","21","1","17","0","31.129","193","11","0","0.002","0.02","1.542","0","0","0","0","0","10.206","0","0","0.305","0.012","68","68","0","0","17","0","0","1","1","2","2","2","0","0","0","0","36972","0","0","0","62.5","16","16","172","1226","0","30","26","21","True","True","True","0.003","0.024","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","1251","600","16","29","144224","4952","396","162516","5.6192","0.0836","5.5356","normal","True","False","False"
"2026/6/25 20:20:23","59.9897","59.9897","17","20.87","0.492","32.258","16","17","0.444444","0.444444","0.444444","0.444444","0","0","0","2243.37","21","0","13","1076","21","1","17","0","23.748","165","14","0","0.002","0.027","1.514","0","0","0","0","0","7.142","0","0","0.267","0.009","68","68","0","0","17","0","0","1","1","2","1","0","0","0","0","0","36972","0","0","0","62.5","0","16","172","1346","0","30","26","21","True","True","True","0.003","0.024","0","0","1920","1080","0","0","1920","1080","17","12","12","4","True","1801","690","36","65","156716","5285","398","162516","10.3425","0.0981","10.2444","normal","True","False","False"
"2026/6/25 20:20:25","59.6765","59.6765","17","21.575","0.444","31.25","15","17","0.566572","0.566572","0.566572","0.566572","0","0","0","1766.25","21","0","14","1088","21","1","17","0","28.181","185","11","0","0.004","0.029","1.444","0","0","0","0","0","8.852","0","0","0.193","0.008","68","68","0","0","17","0","0","1","1","2","1","0","0","0","0","0","36972","0","0","0","66.666","0","0","172","1467","0","30","26","21","True","True","True","0.002","0.024","0","0","1920","1080","0","0","1920","1080","17","12","12","4","True","1817","661","29","52","170711","5777","396","162516","5.5979","0.082","5.5159","normal","True","False","False"
