"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","cold_base_budget_enabled","cold_base_budget_limit","cold_base_budget_used_count","cold_base_deferred_count","candidate_backoff_enabled","candidate_backoff_min_failures","candidate_backoff_active_count","candidate_backoff_blocked_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_soft_failure_count","candidate_backoff_probe_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 20:31:19","59.8351","59.8351","17","15.674","0.52","15.873","16","17","0.566251","0.566251","0.566251","0.566251","0","0","0","1749.69","21","0","4","1107","21","1","17","0","64.015","427","0","0","0.003","0.019","1.202","0","0","0","0","0","10.619","0","0","31.096","0.01","60","60","0","0","15","0","0","1","4","0","0","1","2","2","2","2","0","0","0","0","33108","0","0","6","62.5","0","16","157","395","0","10","9","6","True","True","True","0.002","0.013","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","1250","599","16","29","52861","2037","366","159854","3.5689","0.0827","3.4862","normal","True","False","False"
"2026/6/25 20:31:22","59.9124","59.9124","18","19.011","0.587","32.258","32","18","0.603865","0.603865","0.603865","0.603865","0","0","0","1659.24","23","0","6","1083","21","1","17","0","31.324","169","6","0","0.002","0.019","1.182","0","0","0","0.001","0","5.865","0","0","0.289","0.01","48","48","0","0","16","0","0","1","4","0","0","1","2","2","2","2","0","0","0","0","35040","0","0","0","62.5","16","16","157","519","0","10","9","6","True","True","True","0.003","0.013","0","0","1920","1080","0","0","1920","1080","18","11","11","4","True","1766","640","28","52","67122","2442","368","159854","4.0101","0.0739","3.9362","normal","True","False","False"
"2026/6/25 20:31:24","59.9349","59.9349","19","19.011","0.598","32.258","47","19","0.520291","0.520291","0.520291","0.520291","0","0","0","1921.64","23","0","7","1086","21","1","17","0","31.806","225","18","0","0.003","0.019","2.153","0","0","0","0","0","7.8","0","0","0.54","0.01","68","68","0","0","17","0","0","1","4","0","0","1","2","2","2","2","0","0","0","0","36972","0","0","0","66.666","0","0","157","640","0","21","17","14","True","True","True","0.002","0.013","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1599","622","27","48","79542","2885","382","161201","3.8433","0.0869","3.7564","normal","True","False","False"
"2026/6/25 20:31:26","59.9794","59.9794","19","17.065","0.52","16.129","16","19","0.581734","0.581734","0.581734","0.581734","0","0","0","1710.89","23","0","8","1093","21","1","17","0","51.298","344","17","0","0.003","0.022","2.727","0","3.598","0","0","0","15.716","3.23","1.886","1.018","0.011","52","52","0","0","16","1","12","1","4","1","0","1","2","2","2","2","0","0","0","0","36972","0","0","3","62.5","0","0","157","760","0","21","17","14","True","True","True","0.003","0.013","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1730","625","29","52","93394","3369","381","161201","3.4099","0.087","3.3229","normal","True","False","False"
"2026/6/25 20:31:28","62.1693","62.1693","19","21.7","0.582","15.873","0","19","0.537924","0.537924","0.537924","0.537924","0","0","0","1847.29","23","0","9","1085","21","1","17","0","52.605","375","24","0","0.003","0.03","3.649","0.001","4.62","0","0.001","0","11.276","4.665","0.362","0.132","0.011","68","68","0","0","16","1","12","1","4","1","0","1","2","2","2","2","0","0","0","0","36972","0","0","3","62.5","0","0","157","880","0","21","17","14","True","True","True","0.002","0.013","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1868","706","39","71","106975","3818","381","161201","3.2635","0.098","3.1655","normal","True","False","False"
"2026/6/25 20:31:30","54.9065","54.9065","19","21.7","0.542","15.873","16","19","0.551572","0.551572","0.551572","0.551572","0","0","0","1808.41","23","0","10","1080","21","1","17","0","52.267","383","34","0","0.002","0.016","3.517","0","4.155","0","0.001","0","6.386","2.532","0.554","0.4","0.01","52","52","0","0","16","1","12","1","4","1","0","1","2","2","2","2","0","0","0","0","36972","0","0","3","62.5","0","0","157","999","0","21","17","14","True","True","True","0.003","0.013","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1788","686","34","62","120475","4323","382","161201","7.8066","0.089","7.7176","normal","True","False","False"
"2026/6/25 20:31:32","58.1929","58.1929","19","20.422","0.552","31.25","15","19","0.537924","0.537924","0.537924","0.537924","0","0","0","1849.31","23","0","11","1093","21","1","17","0","29.216","180","0","0","0.002","0.019","1.383","0","0","0","0","0","9.625","0","0","0.464","0.009","52","52","0","0","17","0","0","1","4","0","0","1","2","2","2","2","0","0","0","0","36972","0","0","0","62.5","15","0","157","1119","0","21","17","14","True","True","True","0.002","0.013","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1806","686","38","69","134194","4826","382","161201","4.3146","0.0729","4.2417","normal","True","False","False"
"2026/6/25 20:31:34","59.9454","59.9454","17","17.534","0.538","32.258","16","17","0.418235","0.418235","0.418235","0.418235","0","0","0","2382.52","21","0","12","1078","21","1","17","0","28.839","190","7","0","0.001","0.021","1.731","0","0","0","0","0","8.466","0","0","0.675","0.009","67","67","0","0","17","0","0","1","4","0","0","1","2","2","2","0","0","0","0","0","36972","0","0","0","66.666","16","0","390","1239","0","45","39","35","True","True","True","0.003","0.013","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","1250","599","16","29","144379","5020","396","189577","3.9135","0.0814","3.8321","normal","True","False","False"
"2026/6/25 20:31:36","62.5966","62.5966","17","17.534","0.418","32.258","16","17","0.576701","0.576701","0.576701","0.576701","0","0","0","1728.97","21","0","13","1076","21","1","17","0","26.677","189","8","0","0.002","0.024","2.644","0.84","0","0","0.001","0","6.348","0","0.001","0.673","0.009","53","53","0","0","17","0","0","1","4","0","0","1","2","2","2","0","0","0","0","0","33108","2","0","0","62.5","0","16","390","1359","0","45","39","35","True","True","True","0.002","0.013","0","0","1920","1080","0","0","1920","1080","17","10","10","4","True","1712","624","27","50","158130","5546","395","189577","3.8676","0.0753","3.7923","normal","True","False","False"
"2026/6/25 20:31:38","59.8907","59.8907","17","21.452","0.577","32.258","15","17","0.551572","0.551572","0.551572","0.551572","0","0","0","1811.09","21","0","14","1090","21","1","17","0","32.396","219","0","0","0.003","0.027","3.249","2.147","0","0","0","0","10.372","0","0","0.556","0.009","67","67","0","0","17","0","0","1","4","0","0","1","2","2","0","0","0","0","0","0","33108","2","0","0","62.5","15","16","390","1479","0","45","39","35","True","True","True","0.002","0.013","0","0","1920","1080","0","0","1920","1080","17","10","10","4","True","1595","621","27","49","172120","6027","393","189577","3.7201","0.0735","3.6466","normal","True","False","False"
