"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 0:51:51","59.9812","59.9812","17","40.844","0","5.813","78","17","0.512033","0.512033","0.512033","0.512033","2","0","0","1942.08","26","0","1","0.376","1.908","0","633.64","580.283","1069.71","8.529","200.217","0.004","0","13146","415","68","59","64","2304","0","1092","0","1092","1092","17","17","43","17","1137","17","1092","0","2274","34","34","17","1137","5","1092","26","0","0","0","164.582","1128","58","0","0.004","0.021","8.012","0","26.482","0","0.004","0","15.685","34.612","12.087","29.576","0.011","78","78","78","0","11","0","79224","79224","0","12","48","74","78","0","0","12","10","120","36972","0","0","36","66.666","0","0","16","40","0","0","0","0","True","True","True","0.003","0.017","0","0","1920","1080","0","0","1920","1080","17","7","7","9","True","1854","583","29","52","19702","699","250","12923","7.7942","0.0873","7.7069","normal","True","False","False"
"2026/6/26 0:51:53","58.3763","58.3763","17","40.844","0","4","0","17","0.512033","0.512033","0.512033","0.512033","2","0","0","1942.08","26","0","1","0.376","1.908","0","633.64","580.283","1069.71","8.529","200.217","0.004","0","13146","415","68","59","64","2304","0","1092","0","1092","1092","17","17","43","17","1137","17","1092","0","2274","34","34","17","1137","5","1092","26","0","0","0","234.454","1383","0","0","0.002","0.015","8.887","0.002","41.341","0.001","0.002","0","36.016","48.33","16.388","32.504","0.009","78","78","78","0","11","0","79224","79224","0","12","48","74","78","0","0","12","10","120","36972","0","0","36","66.666","0","0","156","165","0","11","9","7","True","True","True","0.005","0.017","0","0","1920","1080","0","0","1920","1080","17","7","7","9","True","1852","583","29","52","32184","828","334","159880","3.2448","0.0821","3.1627","normal","True","False","False"
"2026/6/26 0:51:55","59.8107","59.8107","17","40.844","0.508","5.813","141","17","0.764916","0.764916","0.254972","0.254972","5","0","0","3909.98","26","15","2","0.257","4.88","0","1112.3","1129.59","2259.94","19.377","460.448","0.004","0","24854","417","68","59","64","2304","0","1100","0","1100","1100","17","17","43","17","1146","17","1100","0","2291","34","34","17","1145","5","1100","26","0","0","0","173.183","1258","67","0","0.004","0.03","11.738","0","24.294","0","0","0","19.167","35.254","14.109","27.462","0.008","78","78","78","0","11","0","79224","79224","0","12","48","74","78","0","0","12","10","120","36972","0","0","36","62.5","0","0","156","286","0","11","9","7","True","True","True","0.002","0.017","0","0","1920","1080","0","0","1920","1080","17","7","7","9","True","1854","584","28","51","46002","1235","349","159880","7.5623","0.0595","7.5028","normal","True","False","False"
"2026/6/26 0:51:57","59.8055","59.8055","17","40.844","0.508","6.41","47","17","0.764916","0.764916","0.254972","0.254972","5","0","0","3909.98","26","15","2","0.257","4.88","0","1112.3","1129.59","2259.94","19.377","460.448","0.004","0","24854","417","68","59","64","2304","0","1100","0","1100","1100","17","17","43","17","1146","17","1100","0","2291","34","34","17","1145","5","1100","26","0","0","0","157.26","1090","0","0","0.003","0.02","6.282","0","23.773","0","0","0","18.657","30.111","11.863","31.399","0.011","78","78","78","0","11","0","79224","79224","0","12","48","74","78","0","0","12","10","120","36972","0","0","36","62.5","0","16","156","406","0","11","9","7","True","True","True","0.002","0.017","0","0","1920","1080","0","0","1920","1080","17","8","8","8","True","1854","583","28","51","59473","1235","359","159880","8.1024","0.0767","8.0257","normal","True","False","False"
"2026/6/26 0:51:59","60.28","60.28","17","7.232","0.254","5.319","93","17","1.11794","1.11794","0.279486","0.279486","8","0","0","3548.72","26","16","3","0.955","6.722","0","977.907","1123.64","2078.89","15.994","412.752","0.004","0","24278","403","68","59","64","2304","0","1092","0","1092","1092","17","17","43","17","1138","17","1092","0","2277","34","34","17","1139","5","1092","26","0","0","0","179.2","1265","80","0","0.001","0.016","11.883","0","36.489","0","0.003","0","16.983","39.256","12.34","0.943","0.01","78","78","78","0","11","0","79224","79224","0","12","48","74","78","0","0","12","10","120","36972","0","0","30","66.666","0","0","156","527","0","22","18","14","True","True","True","0.002","0.017","0","0","1920","1080","0","0","1920","1080","17","8","8","8","True","1854","583","28","52","71834","1653","375","159880","8.0792","0.095","7.9842","normal","True","False","False"
"2026/6/26 0:52:01","59.9562","59.9562","17","7.232","0.254","5.813","94","17","1.11794","1.11794","0.279486","0.279486","8","0","0","3548.72","26","16","3","0.955","6.722","0","977.907","1123.64","2078.89","15.994","412.752","0.004","0","24278","403","68","59","64","2304","0","1092","0","1092","1092","17","17","43","17","1138","17","1092","0","2277","34","34","17","1139","5","1092","26","0","0","0","165.726","1129","0","0","0.002","0.018","9.839","0.001","37.352","0","0.003","0","22.541","39.192","15.318","1.276","0.011","78","78","78","0","11","0","79224","79224","0","12","48","74","78","0","0","12","10","120","33108","2","0","30","62.5","0","0","156","648","0","22","18","14","True","True","True","0.002","0.021","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","1854","584","28","51","84772","1653","381","159880","3.8048","0.082","3.7228","normal","True","False","False"
"2026/6/26 0:52:03","58.9923","58.9923","17","7.232","0.281","6.41","110","17","1.00402","1.00402","0.251004","0.251004","19","0","0","3962.43","26","63","4","0.683","5.973","0","1304.99","1182.35","2182.2","16.378","398.292","0.002","0","24874","418","68","59","64","2304","0","1102","0","1102","1102","17","17","41","17","1149","17","1102","0","2299","34","34","17","1150","3","1102","24","0","0","0","154.02","1007","0","0.001","0.005","0.023","9.039","0","32.6","0","0.004","0","13.863","34.192","12.905","0.421","0.012","78","78","78","0","11","0","79224","79224","0","12","48","74","78","0","0","12","10","120","33108","2","0","30","62.5","0","0","156","768","0","22","18","14","True","True","True","0.002","0.021","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","1854","584","28","51","98823","2076","379","159880","3.8399","0.0888","3.7511","normal","True","False","False"
"2026/6/26 0:52:05","60.2081","60.2081","17","7.232","0.281","9.174","109","17","1.00402","1.00402","0.251004","0.251004","19","0","0","3962.43","26","63","4","0.683","5.973","0","1304.99","1182.35","2182.2","16.378","398.292","0.002","0","24874","418","68","59","64","2304","0","1102","0","1102","1102","17","17","41","17","1149","17","1102","0","2299","34","34","17","1150","3","1102","24","0","0","0","107.018","735","2","0","0.002","0.02","6.954","0","17.549","0","0","0","10.327","27.434","11.409","0.288","0.01","66","66","66","0","7","0","65064","65064","0","12","48","64","66","0","0","12","10","135","33108","0","0","18","66.666","0","0","156","889","0","22","18","14","True","True","True","0.002","0.033","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","1854","583","28","51","112351","2106","381","159880","3.6908","0.0726","3.6182","normal","True","False","False"
"2026/6/26 0:52:07","59.5666","59.5666","17","7.232","0.248","8","47","17","3.28138","3.28138","0.273448","0.273448","27","0","0","3593.12","26","46","5","0.993","8.861","0","1121.93","1168.28","2043.34","10.735","356.307","0.004","0","24579","454","68","59","64","2304","0","1109","0","1109","1109","16","16","39","16","1155","16","1109","0","2309","32","32","16","1154","3","1109","23","0","0","0","121.927","790","4","0","0.002","0.022","5.533","0","21.139","0","0.004","0","16.024","21.676","6.865","0.302","0.012","66","66","66","0","7","0","65064","65064","0","12","48","64","66","0","0","12","10","136","33108","0","0","18","62.5","0","0","156","1010","0","22","18","14","True","True","True","0.003","0.033","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","1854","584","28","51","126152","2541","381","159880","3.44","0.0753","3.3647","normal","True","False","False"
"2026/6/26 0:52:09","58.4136","58.4136","17","6.213","0.248","1.453","47","17","3.28138","3.28138","0.273448","0.273448","27","0","0","3593.12","26","46","5","0.993","8.861","0","1121.93","1168.28","2043.34","10.735","356.307","0.004","0","24579","454","68","59","64","2304","0","1109","0","1109","1109","16","16","39","16","1155","16","1109","0","2309","32","32","16","1154","3","1109","23","0","0","0","688.296","1092","6","0","0.002","0.022","13.978","0.001","434.933","0","0.004","0","25.398","50.221","17.319","77.594","0.012","67","67","67","0","8","0","67296","67296","0","12","48","65","67","0","0","12","10","135","33108","0","0","30","62.5","16","16","328","1131","0","46","40","34","True","True","True","0.001","0.033","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","1854","584","28","51","136100","2581","398","160902","3.9276","0.0803","3.8473","normal","True","False","False"
