"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 6:14:40","348.542","348.542","17","40.431","0.474","5.347","94","17","0.75","0.75","0.25","0.25","15","0","0","3989.07","26","79","2","0.216","21.272","0","1160.06","1134.69","2150.7","29.881","567.836","0.003","0","25338","556","68","40","64","7168","0","1096","0","1261","1095","17","17","43","17","1141","17","1096","0","2283","34","34","17","1142","5","1096","26","0","0","0","187.066","1140","1","0","0.002","0.015","8.618","0.002","31.403","0.001","0.009","0","18.502","35.061","13.733","29.993","0.014","78","78","78","0","11","0","79224","79224","0","12","48","72","78","0","0","12","10","120","33108","2","0","36","62.5","0","0","172","1965","0","76","67","53","True","True","True","0.003","0.013","0","0","1920","1080","0","0","1920","1080","17","4","4","15","0","0","0","0","10","True","989","649","55","100","45742","1325","353","158788","5.2434","0.1033","5.1401","normal","True","False","False"
"2026/6/26 6:14:42","391.185","391.185","17","8.17","0.474","9.174","78","17","0.75","0.75","0.25","0.25","15","0","0","3989.07","26","79","2","0.216","21.272","0","1160.06","1134.69","2150.7","29.881","567.836","0.003","0","25338","556","68","40","64","7168","0","1096","0","1261","1095","17","17","43","17","1141","17","1096","0","2283","34","34","17","1142","5","1096","26","0","0","0","99.524","631","4","0","0.001","0.019","3.544","0.001","20.003","0.003","0.002","0","10.659","24.118","6.288","0.801","0.011","66","66","66","0","7","0","65064","65064","0","12","48","64","66","0","0","12","10","136","33108","0","0","18","66.666","0","0","172","2778","0","76","67","53","True","True","True","0.002","0.013","0","0","1920","1080","0","0","1920","1080","17","4","4","17","4","1","100","102","10","True","1023","603","32","58","60041","1712","361","158788","2.7453","0.0512","2.6941","normal","True","False","False"
"2026/6/26 6:14:44","418.787","418.787","17","8.17","0.246","8","63","17","3.246","3.246","0.231857","0.231857","19","0","0","4225.42","26","16","3","0.526","18.273","0.009","1267.77","1155.06","2410.26","16.331","455.286","0.025","0","26527","610","68","40","64","7168","0","1111","0","1276","1110","17","17","41","17","1158","17","1111","0","2315","34","34","17","1157","3","1111","24","0","0","0","126.348","886","4","0","0.002","0.017","8.736","1.237","14.788","0.003","0.001","0","10.451","27.47","7.057","25.229","0.009","69","69","69","0","11","0","71760","71760","0","11","44","67","69","0","0","12","10","133","31176","1","0","24","62.5","0","0","218","3615","0","158","143","124","True","True","True","0.002","0.02","0","0.001","1920","1080","0","0","1920","1080","17","4","4","17","4","1","100","66","9","True","535","528","41","75","72156","1969","384","162519","1.8754","0.0335","1.8419","normal","True","False","False"
"2026/6/26 6:14:46","381.355","381.355","17","8.17","0.246","7.092","31","17","3.246","3.246","0.231857","0.231857","19","0","0","4225.42","26","16","3","0.526","18.273","0.009","1267.77","1155.06","2410.26","16.331","455.286","0.025","0","26527","610","68","40","64","7168","0","1111","0","1276","1110","17","17","41","17","1158","17","1111","0","2315","34","34","17","1157","3","1111","24","0","0","0","146.97","947","1","0","0.002","0.016","8.398","1.616","18.209","0","0.001","0","16.698","21.641","6.623","39.949","0.011","69","69","69","0","11","0","71760","71760","0","11","44","68","69","0","0","12","10","131","31176","1","0","24","66.666","0","0","218","4404","0","158","143","124","True","True","True","0.002","0.02","0","0.001","1920","1080","0","0","1920","1080","17","4","4","17","4","1","100","45","9","True","641","534","50","91","85701","2360","388","162519","2.0123","0.0614","1.9509","normal","True","False","False"
"2026/6/26 6:14:48","407.508","407.508","19","8.17","0.234","7.092","156","19","1.2213","1.2213","0.24426","0.24426","19","0","0","4063.05","30","0","4","1.182","24.937","0.004","1224.7","1205.68","2301.06","12.77","445.897","0.004","0","27218","631","68","40","64","7168","8","1151","0","1324","1150","17","17","43","17","1196","17","1151","0","2394","34","34","17","1198","5","1151","26","0","0","0","142.895","969","21","0","0.003","0.016","15.707","0","30.526","0.001","0.004","0","16.01","27.55","9.153","0.6","0.012","77","77","77","0","14","0","82268","82268","0","11","44","68","77","0","0","11","15","202","35040","0","0","30","62.5","0","0","218","5181","0","158","143","124","True","True","True","0.003","0.02","0","0.001","1920","1080","0","0","1920","1080","19","9","9","17","0","0","0","0","6","True","1292","534","38","70","99172","2666","391","162519","2.3577","0.0795","2.2782","normal","True","False","False"
"2026/6/26 6:14:50","387.665","387.665","19","8.17","0.234","5.847","0","19","1.2213","1.2213","0.24426","0.24426","19","0","0","4063.05","30","0","4","1.182","24.937","0.004","1224.7","1205.68","2301.06","12.77","445.897","0.004","0","27218","631","68","40","64","7168","8","1151","0","1324","1150","17","17","43","17","1196","17","1151","0","2394","34","34","17","1198","5","1151","26","0","0","0","172.644","1177","5","0","0.002","0.018","10.075","0","25.543","0","0.004","0","28.976","29.497","22.163","0.556","0.014","76","76","76","0","13","0","80036","80036","0","11","44","68","76","0","0","11","15","204","35040","0","0","30","62.5","15","15","218","5946","0","159","143","124","True","True","True","0.002","0.02","0","0.001","1920","1080","0","0","1920","1080","19","9","9","17","0","0","0","0","6","True","1789","947","63","114","112482","3070","394","162519","1.9584","0.0369","1.9215","normal","True","False","False"
"2026/6/26 6:14:52","388.365","388.365","20","6.358","0.246","7.142","47","20","0.215517","0.215517","0.215517","0.215517","25","0","0","4639.18","29","32","5","0.675","23.619","0.005","1392.82","1334.1","2612.73","20.936","526.841","0.004","0","30571","733","68","40","64","7168","6","1229","0","1400","1228","17","17","43","17","1275","17","1229","0","2551","34","34","17","1276","5","1229","26","0","0","0","131.566","945","85","0","0.002","0.019","10.057","0.001","26.85","0","0.003","0","16.575","29.577","8.546","0.555","0.015","81","81","81","0","15","0","85920","85920","0","11","44","74","81","0","0","11","14","188","36972","0","0","33","62.5","0","0","218","6716","0","159","143","124","True","True","True","0.003","0.047","0.001","0.003","1920","1080","0","0","1920","1080","20","10","10","20","4","2","100","45","6","True","1828","634","47","85","125498","3236","399","162519","2.772","0.0584","2.7136","normal","True","False","False"
"2026/6/26 6:14:54","393.752","393.752","20","6.358","0.246","1.488","235","20","0.215517","0.215517","0.215517","0.215517","25","0","0","4639.18","29","32","5","0.675","23.619","0.005","1392.82","1334.1","2612.73","20.936","526.841","0.004","0","30571","733","68","40","64","7168","6","1229","0","1400","1228","17","17","43","17","1275","17","1229","0","2551","34","34","17","1276","5","1229","26","0","0","0","663.245","1713","218","0","0.002","0.027","15.083","0.003","63.089","0.001","0.004","0","106.347","84.913","100.634","47.51","0.012","81","81","81","0","14","0","85920","85920","0","12","48","74","81","0","0","12","13","178","36972","0","0","45","62.5","0","0","218","7513","0","267","228","196","True","True","True","0.001","0.047","0.001","0.003","1920","1080","0","0","1920","1080","20","3","3","18","0","0","0","0","13","True","1226","551","27","49","136262","3733","414","162519","2.4372","0.0539","2.3833","normal","True","False","False"
"2026/6/26 6:14:56","394.452","394.452","18","6.358","0.246","4.587","47","18","0.215517","0.215517","0.215517","0.215517","25","0","0","4639.18","29","32","5","0.675","23.619","0.005","1392.82","1334.1","2612.73","20.936","526.841","0.004","0","30571","733","68","40","64","7168","6","1229","0","1400","1228","17","17","43","17","1275","17","1229","0","2551","34","34","17","1276","5","1229","26","0","0","0","221.043","1438","1","0","0.002","0.026","13.472","0.003","30.605","0","0.004","0.001","24.662","44.361","17.663","36.77","0.013","81","81","81","0","14","0","85920","85920","0","12","48","73","81","0","0","12","13","176","36972","0","0","36","66.666","0","0","218","8282","0","267","228","196","True","True","True","0.002","0.047","0","0.013","1920","1080","0","0","1920","1080","18","5","5","16","0","0","0","0","11","True","96","441","25","45","149025","3739","417","162519","1.9037","0.0417","1.862","normal","True","False","False"
"2026/6/26 6:14:58","318.055","318.055","18","6.358","0.214","4.901","109","18","1.44988","1.44988","0.207125","0.207125","33","0","0","4784.08","27","47","6","0.699","183.886","0.001","1291.58","1680.27","2735.94","14.992","475.267","0.003","0","28580","637","68","40","64","7168","4","1177","0","1346","1176","17","17","43","17","1223","17","1177","0","2445","34","34","17","1222","5","1177","26","0","0","0","197.547","1376","246","0","0.003","0.02","9.872","0","31.533","0","0.007","0","23.406","47.128","8.51","33.818","0.014","78","78","78","0","11","0","79224","79224","0","12","48","69","78","0","0","12","11","140","36972","0","0","36","66.666","16","16","218","9033","0","267","228","196","True","True","True","0.007","0.06","0","0.013","1920","1080","0","0","1920","1080","18","3","3","16","0","0","0","0","13","True","202","317","27","49","162521","4328","416","162519","2.8589","0.0697","2.7892","normal","True","False","False"
