"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 12:40:51","282.516","282.516","17","40.844","0.457","8","63","17","0.22941","0.22941","0.22941","0.22941","0","2","2","6","0","0","4358.74","26","31","2","0.23","3.99","0.008","1311.83","1398.23","2504.42","22.354","456.255","0.002","0","26586","349","4","0","0","16384","1","1104","0","1105","1104","17","17","43","17","1155","17","1104","0","2310","34","34","17","1155","5","1104","26","0","0","0","112.281","743","28","0","0.002","0.02","6.389","0","22.217","0","0.003","0","17.64","27.116","9.088","0.29","0.013","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","3","118","0","62.5","16","16","171","1440","0","47","43","37","True","True","True","0.004","0.02","0","0","1920","1080","0","0","1920","1080","17","10","10","17","5","1","100","45","6","True","1423","711","27","50","45584","909","367","159654","3.0203","0.9081","2.1122","normal","True","True","False"
"2026/6/26 12:40:53","283.646","283.646","17","9.528","0.457","7.142","31","17","0.22941","0.22941","0.22941","0.22941","0","2","2","6","0","0","4358.74","26","31","2","0.23","3.99","0.008","1311.83","1398.23","2504.42","22.354","456.255","0.002","0","26586","349","4","0","0","16384","1","1104","0","1105","1104","17","17","43","17","1155","17","1104","0","2310","34","34","17","1155","5","1104","26","0","0","0","143.451","902","0","0","0.002","0.016","6.089","0.001","29.938","0","0.003","0","21.151","31.441","12.566","0.765","0.011","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","3","131","0","66.666","0","0","171","2054","0","47","43","37","True","True","True","0.002","0.022","0","0","1920","1080","0","0","1920","1080","17","11","11","17","5","1","100","45","5","True","1448","710","27","50","59111","1048","377","159654","3.4933","0.8873","2.606","normal","True","True","False"
"2026/6/26 12:40:55","293.15","293.15","17","9.528","0.227","9.09","31","17","1.54491","1.54491","0.220702","0.220702","0","3","3","7","0","0","4492.67","26","0","3","0.443","3.842","0.008","1356.13","1300.39","2579","14.811","484.391","0.004","0","27506","361","4","0","0","16384","2","1111","0","1113","1111","17","17","43","17","1162","17","1111","0","2324","34","34","17","1162","5","1111","26","0","0","0","114.022","773","27","0","0.002","0.016","5.273","0","23.104","0","0","0","15.672","23.667","7.471","0.843","0.015","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","4","141","0","62.5","0","16","172","2644","0","88","79","69","True","True","True","0.002","0.022","0","0","1920","1080","0","0","1920","1080","17","11","11","17","4","1","100","46","5","True","1590","746","26","46","70567","1161","395","164262","3.2555","0.6265","2.629","normal","True","True","False"
"2026/6/26 12:40:57","301.98","301.98","17","9.528","0.227","6.369","78","17","1.54491","1.54491","0.220702","0.220702","0","3","3","7","0","0","4492.67","26","0","3","0.443","3.842","0.008","1356.13","1300.39","2579","14.811","484.391","0.004","0","27506","361","4","0","0","16384","2","1111","0","1113","1111","17","17","43","17","1162","17","1111","0","2324","34","34","17","1162","5","1111","26","0","0","0","148.722","980","0","0","0.003","0.028","10.648","0.002","35.944","0.002","0.002","0","20.362","29.969","11.826","0.348","0.014","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","32196","2","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","4","154","0","62.5","0","0","172","3254","0","88","79","69","True","True","True","0.001","0.022","0","0","1920","1080","0","0","1920","1080","17","9","9","15","0","0","0","0","5","True","1697","739","24","43","83938","1396","396","164262","2.7821","0.8242","1.9579","normal","True","True","False"
"2026/6/26 12:40:59","308.956","308.956","17","9.528","0.222","15.873","93","17","0.479386","0.479386","0.239693","0.239693","0","4","4","12","0","0","4166.02","26","31","4","0.56","5.064","0.006","1360.43","1228.58","2281","13.534","444.961","0.003","0","27225","348","4","0","0","16384","1","1103","0","1104","1103","17","17","41","17","1153","17","1103","0","2307","34","34","17","1154","3","1103","24","0","0","0","74.223","531","29","0","0.002","0.021","3.867","0","12.924","0.001","0","0","11.545","13.405","3.808","0.479","0.013","64","64","64","0","6","0","61636","61636","0","12","48","68","64","0","0","15","12","10","136","57","79","12","3","32196","0","0","5","15","12","0","0","4","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","5","167","0","66.666","0","0","172","3854","0","88","79","69","True","True","True","0.001","0.022","0","0","1920","1080","0","0","1920","1080","17","9","9","17","4","1","100","45","5","True","1739","735","23","42","96900","1494","397","164262","2.6463","0.7588","1.8875","normal","True","True","False"
"2026/6/26 12:41:01","294.15","294.15","17","6.4","0.222","10.638","94","17","0.479386","0.479386","0.239693","0.239693","0","4","4","12","0","0","4166.02","26","31","4","0.56","5.064","0.006","1360.43","1228.58","2281","13.534","444.961","0.003","0","27225","348","4","0","0","16384","1","1103","0","1104","1103","17","17","41","17","1153","17","1103","0","2307","34","34","17","1154","3","1103","24","0","0","0","93.022","589","4","0","0.003","0.027","4.745","0.001","16.397","0.001","0","0","13.052","23.077","3.482","0.63","0.014","64","64","64","0","6","0","61636","61636","0","12","48","68","64","0","0","15","12","10","136","57","79","12","3","32196","0","0","5","15","12","0","0","4","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","5","184","0","62.5","0","0","172","4449","0","89","79","69","True","True","True","0.003","0.022","0","0","1920","1080","0","0","1920","1080","17","9","9","17","3","1","100","45","5","True","1645","742","24","44","108820","1857","404","164262","4.1308","0.9766","3.1542","normal","True","True","False"
"2026/6/26 12:41:03","269.746","269.746","17","6.4","0.222","9.09","15","17","0.479386","0.479386","0.239693","0.239693","0","4","4","12","0","0","4166.02","26","31","4","0.56","5.064","0.006","1360.43","1228.58","2281","13.534","444.961","0.003","0","27225","348","4","0","0","16384","1","1103","0","1104","1103","17","17","41","17","1153","17","1103","0","2307","34","34","17","1154","3","1103","24","0","0","0","109.311","712","4","0","0.002","0.02","11.121","0","18.589","0","0.001","0","13.384","17.33","5.194","1.632","0.023","64","64","64","0","6","0","61636","61636","0","12","48","68","64","0","0","15","12","10","136","57","79","12","3","32196","0","0","5","15","12","0","0","4","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","5","201","0","66.666","0","15","172","5046","0","89","79","69","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","9","9","17","5","1","100","45","5","True","1520","725","27","48","121856","1924","404","164262","3.1351","0.8628","2.2723","normal","True","True","False"
"2026/6/26 12:41:05","320.64","320.64","19","6.4","0.238","7.092","156","19","1.34741","1.34741","0.224568","0.224568","0","5","5","17","0","0","4410.13","30","31","5","0.562","2.94","0.006","1556.41","1267.58","2348.31","13.576","430.073","0.004","0","27444","521","4","0","0","16384","6","1127","0","1133","1127","17","17","43","17","1177","17","1127","0","2354","34","34","17","1177","5","1127","26","0","0","0","131.959","907","16","0","0.002","0.017","9.291","0","21.07","0","0","0","14.271","32.243","13.082","0.817","0.011","78","78","78","0","11","0","79224","79224","0","12","48","77","78","0","0","17","12","14","184","95","89","12","5","36060","0","0","10","30","12","0","0","10","0","0","0","12","14","0","14","0","3","0","4","0","0","0","0","6","212","0","66.666","0","0","172","5640","0","135","118","105","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","17","0","0","0","0","5","True","1421","711","28","51","133822","2302","411","164262","3.1227","0.8879","2.2348","normal","True","True","False"
"2026/6/26 12:41:07","274.984","274.984","19","6.4","0.238","7.092","171","19","1.34741","1.34741","0.224568","0.224568","0","5","5","17","0","0","4410.13","30","31","5","0.562","2.94","0.006","1556.41","1267.58","2348.31","13.576","430.073","0.004","0","27444","521","4","0","0","16384","6","1127","0","1133","1127","17","17","43","17","1177","17","1127","0","2354","34","34","17","1177","5","1127","26","0","0","0","149.295","922","4","0","0.002","0.017","7.831","0","32.96","0","0.006","0","16.353","38.919","9.557","0.319","0.013","78","78","78","0","11","0","79224","79224","0","12","48","77","78","0","0","17","12","14","184","95","89","12","5","36060","0","0","10","30","12","0","0","10","0","0","0","12","14","0","14","0","3","0","4","0","0","0","0","6","222","0","62.5","15","0","172","6201","0","135","118","105","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","17","0","0","0","0","5","True","1469","709","27","49","146772","2342","411","164262","2.9635","0.9518","2.0117","normal","True","True","False"
"2026/6/26 12:41:09","279.028","279.028","19","6.4","0.225","8","140","19","1.37615","1.37615","0.229358","0.229358","0","6","6","21","0","0","4330.5","30","31","6","0.486","4.117","0.007","1583.56","1169.12","2232.12","19.786","426.687","0.003","0","26906","429","4","0","0","16384","1","1106","0","1107","1106","17","17","43","17","1156","17","1106","0","2313","34","34","17","1157","5","1106","26","0","0","0","120.143","792","33","0","0.003","0.026","6.29","0.001","22.358","0","0.004","0","14.599","27.039","9.135","0.559","0.012","78","78","78","0","11","0","79224","79224","0","12","48","77","78","0","0","17","12","14","184","95","89","12","5","36060","0","0","10","30","12","0","0","10","0","0","0","12","14","0","14","0","3","0","4","0","0","0","0","7","235","0","62.5","15","15","172","6791","0","135","118","105","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","17","0","0","0","0","5","True","1607","745","25","45","160150","2744","409","164262","3.3716","1.044","2.3276","normal","True","True","False"
