"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","record_store_enabled","record_store_size","record_store_fresh_count","record_store_missing_count","record_store_dead_count","record_store_expired_count","record_store_bases_valid_count","record_store_dynamic_valid_count","record_store_published_valid_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 12:56:12","0","0","0","0","0","0","344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/26 12:56:14","427.117","427.117","0","0","0","32.258","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","54","0","66.666","16","0","0","0","0","0","0","0","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","7948","357","221","15146","1.8762","0.0084","1.8678","normal","False","False","True"
"2026/6/26 12:56:16","275.398","275.398","17","40.844","0","8","110","17","0.467071","0.467071","0.467071","0.467071","0","1","1","4","0","0","2137.64","26","31","1","1.315","2.344","0.007","761.863","597.091","1121.9","6.617","214.866","0.002","0","13433","357","4","0","0","16384","1","1109","0","1110","1109","17","17","43","17","1161","17","1109","0","2320","34","34","17","1159","5","1109","26","0","0","0","120.744","794","32","0","0.002","0.02","7.33","0","26.016","0.001","0.003","0","15.161","26.655","12.84","0.284","0.008","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","95","0","62.5","0","0","16","269","0","0","0","0","True","True","True","0.002","0.026","0","0","1920","1080","0","0","1920","1080","17","11","11","15","0","0","0","0","5","True","1652","742","24","44","21255","660","273","15146","4.3978","0.742","3.6558","normal","True","True","False"
"2026/6/26 12:56:18","295.255","295.255","17","40.844","0","7.092","93","17","0.467071","0.467071","0.467071","0.467071","0","1","1","4","0","0","2137.64","26","31","1","1.315","2.344","0.007","761.863","597.091","1121.9","6.617","214.866","0.002","0","13433","357","4","0","0","16384","1","1109","0","1110","1109","17","17","43","17","1161","17","1109","0","2320","34","34","17","1159","5","1109","26","0","0","0","142.45","905","0","0","0.002","0.02","6.396","0","27.459","0.005","0.003","0","18.194","31.961","12.395","0.761","0.012","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","105","0","62.5","15","15","172","898","0","55","47","41","True","True","True","0.002","0.026","0","0","1920","1080","0","0","1920","1080","17","10","10","15","0","0","0","0","6","True","1534","734","26","47","33072","696","346","158005","3.4237","0.8744","2.5493","normal","True","True","False"
"2026/6/26 12:56:20","314.603","314.603","17","40.844","0.46","9.09","78","17","1.15527","1.15527","0.231054","0.231054","0","2","2","20","0","0","4294.11","26","93","2","0.719","4.379","0.008","1296.79","1381.64","2475.74","13.63","442.717","0.003","0","26508","344","4","0","0","16384","1","1098","0","1099","1098","17","17","43","17","1149","17","1098","0","2299","34","34","17","1150","5","1098","26","0","0","0","115.684","811","33","0","0.004","0.029","4.964","0","22.549","0.001","0.001","0","16.421","25.792","10.621","0.439","0.01","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","118","0","62.5","0","0","172","1483","0","55","47","41","True","True","True","0.004","0.026","0","0","1920","1080","0","0","1920","1080","17","10","10","17","4","1","100","45","6","True","1420","711","28","51","46126","913","360","158005","3.5122","0.7367","2.7755","normal","True","True","False"
"2026/6/26 12:56:22","286.944","286.944","17","9.6","0.46","5.347","125","17","1.15527","1.15527","0.231054","0.231054","0","2","2","20","0","0","4294.11","26","93","2","0.719","4.379","0.008","1296.79","1381.64","2475.74","13.63","442.717","0.003","0","26508","344","4","0","0","16384","1","1098","0","1099","1098","17","17","43","17","1149","17","1098","0","2299","34","34","17","1150","5","1098","26","0","0","0","183.439","1176","0","0","0.003","0.022","8.794","0","27.946","0","0.002","0","20.174","38.72","12.594","37.926","0.009","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","10","33","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","130","0","66.666","0","15","172","2076","0","55","47","41","True","True","True","0.003","0.026","0","0","1920","1080","0","0","1920","1080","17","9","9","15","0","0","0","0","7","True","1468","709","27","49","59309","1042","370","158005","3.155","0.8474","2.3076","normal","True","True","False"
"2026/6/26 12:56:24","303.899","303.899","17","9.6","0.228","8","125","17","3.83142","3.83142","0.225378","0.225378","0","3","3","28","0","0","4337.03","26","47","3","0.45","3.392","0.007","1304.4","1279.36","2513.39","19.814","434.42","0.003","0","26975","346","4","0","0","16384","0","1096","0","1096","1096","17","17","43","17","1146","17","1096","0","2292","34","34","17","1146","5","1096","26","0","0","0","130.478","898","26","0","0.002","0.019","5.761","0","19.855","0","0.002","0","12.096","22.158","12.2","22.487","0.008","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","10","33","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","141","0","66.666","16","16","172","2693","0","104","86","74","True","True","True","0.001","0.026","0","0","1920","1080","0","0","1920","1080","17","11","11","15","0","0","0","0","5","True","1607","745","25","45","71165","1169","386","162520","2.9754","0.711","2.2644","normal","True","True","False"
"2026/6/26 12:56:26","290.236","290.236","17","9.6","0.228","6.369","78","17","3.83142","3.83142","0.225378","0.225378","0","3","3","28","0","0","4337.03","26","47","3","0.45","3.392","0.007","1304.4","1279.36","2513.39","19.814","434.42","0.003","0","26975","346","4","0","0","16384","0","1096","0","1096","1096","17","17","43","17","1146","17","1096","0","2292","34","34","17","1146","5","1096","26","0","0","0","154.105","1006","0","0","0.002","0.028","8.415","0.003","29.582","0","0.001","0.001","20.751","30.239","17.176","0.624","0.009","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","36060","0","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","154","0","62.5","0","0","172","3269","0","104","86","74","True","True","True","0.001","0.026","0","0","1920","1080","0","0","1920","1080","17","11","11","15","0","0","0","0","5","True","1720","737","23","43","84156","1393","390","162520","2.8731","0.7539","2.1192","normal","True","True","False"
"2026/6/26 12:56:28","279.773","279.773","17","9.6","0.228","9.174","109","17","2.15724","2.15724","0.239693","0.239693","0","4","4","33","0","0","4124.5","26","31","4","0.339","6.192","0.008","1371.25","1235.71","2257.14","16.649","412.993","0.003","0","27075","346","4","0","0","16384","2","1105","0","1107","1105","17","17","41","17","1157","17","1105","0","2312","34","34","17","1155","3","1105","24","0","0","0","110.426","757","36","0","0.001","0.021","6.816","0","24.146","0.002","0.002","0","8.802","25.925","11.763","0.267","0.009","76","76","76","0","10","0","75796","75796","0","12","48","77","76","0","0","17","12","10","120","95","25","12","5","32196","2","0","9","27","12","0","0","8","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","5","166","0","66.666","0","0","172","3878","0","104","86","74","True","True","True","0.001","0.041","0","0","1920","1080","0","0","1920","1080","17","9","9","17","5","1","100","42","5","True","1732","736","23","42","97433","1481","391","162520","3.3114","0.9153","2.3961","normal","True","True","False"
"2026/6/26 12:56:30","318.9","318.9","17","9.6","0.228","6.41","31","17","2.15724","2.15724","0.239693","0.239693","0","4","4","33","0","0","4124.5","26","31","4","0.339","6.192","0.008","1371.25","1235.71","2257.14","16.649","412.993","0.003","0","27075","346","4","0","0","16384","2","1105","0","1107","1105","17","17","41","17","1157","17","1105","0","2312","34","34","17","1155","3","1105","24","0","0","0","145.864","989","4","0","0.001","0.015","8.112","0","18.53","0","0","0","22.4","21.615","5.52","30.003","0.011","64","64","64","0","6","0","61636","61636","0","12","48","67","64","0","0","15","12","10","136","57","79","12","3","32196","0","0","6","21","12","0","0","4","0","0","0","12","10","0","10","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","5","179","0","62.5","0","0","172","4498","0","109","86","74","True","True","True","0.001","0.041","0","0","1920","1080","0","0","1920","1080","17","10","10","17","4","1","100","45","4","True","1621","742","25","46","109718","1753","397","162520","3.3678","0.7469","2.6209","normal","True","True","False"
