"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_link_changed_same_component_count","entity_record_link_changed_component_changed_count","entity_record_link_changed_same_hero_count","entity_record_link_changed_hero_changed_count","entity_record_link_changed_hero_unknown_count","entity_record_link_changed_match_key_count","entity_record_link_changed_link_key_count","entity_record_link_changed_component_key_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","component_cache_link_change_previous_match_id_known_count","component_cache_link_change_previous_match_id_zero_count","component_cache_link_change_previous_match_id_unknown_count","component_cache_link_change_record_alias_hit_count","component_cache_link_change_record_alias_miss_count","component_cache_link_change_record_published_count","component_cache_link_change_record_bases_valid_count","component_cache_link_change_record_match_key_count","component_cache_link_change_record_link_key_count","component_cache_link_change_record_component_key_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","record_store_enabled","record_store_size","record_store_fresh_count","record_store_missing_count","record_store_dead_count","record_store_expired_count","record_store_bases_valid_count","record_store_dynamic_valid_count","record_store_published_valid_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 13:08:33","0","0","0","0","0","0","344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/26 13:08:36","417.491","417.491","0","0","0","62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","56","0","62.5","16","0","0","0","0","0","0","0","True","True","True","0","0.001","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","7932","357","229","15698","3.0171","0.0173","2.9998","normal","False","False","True"
"2026/6/26 13:08:38","310.335","310.335","17","40.844","0","7.092","15","17","0.457038","0.457038","0.457038","0.457038","0","1","1","4","0","0","2186.01","26","15","1","0.84","2.592","0.009","785.375","614.02","1134.15","8.827","222.261","0.002","0","13442","357","4","0","0","16384","1","1105","0","1106","1105","17","17","43","17","1155","17","1105","0","2311","34","34","17","1156","5","1105","26","0","0","0","136.72","916","31","0","0.003","0.035","8.656","0.006","22.994","0","0.001","0","10.493","44.341","14.896","0.294","0.011","78","78","78","0","11","0","79224","79224","0","12","48","75","78","0","0","17","12","10","120","95","25","12","5","32196","2","0","14","42","8","0","0","10","10","0","4","6","0","10","0","0","0","0","0","12","10","0","10","0","3","10","0","0","10","0","10","10","10","0","0","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","2","98","0","66.666","0","0","16","279","0","0","0","0","True","True","True","0.002","0.011","0","0","1920","1080","0","0","1920","1080","17","9","9","17","3","1","100","45","5","True","1421","711","28","51","21444","672","272","15698","2.8207","0.5837","2.237","normal","True","True","False"
"2026/6/26 13:08:40","286.155","286.155","17","40.844","0","8","94","17","0.457038","0.457038","0.457038","0.457038","0","1","1","4","0","0","2186.01","26","15","1","0.84","2.592","0.009","785.375","614.02","1134.15","8.827","222.261","0.002","0","13442","357","4","0","0","16384","1","1105","0","1106","1105","17","17","43","17","1155","17","1105","0","2311","34","34","17","1156","5","1105","26","0","0","0","113.545","752","4","0","0.002","0.029","5.285","0.007","25.583","0.001","0.001","0","15.432","21.596","7.177","0.722","0.009","70","70","70","0","9","0","65512","65512","0","12","48","71","66","0","0","15","12","10","136","67","69","12","3","32196","0","0","6","18","12","0","0","6","6","0","0","6","0","6","0","0","0","0","0","12","10","0","10","0","3","10","0","0","10","0","10","10","10","0","0","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","2","107","0","66.666","16","16","172","857","0","47","39","35","True","True","True","0.002","0.017","0","0","1920","1080","0","0","1920","1080","17","9","9","17","5","1","100","51","5","True","1499","715","27","49","32828","716","349","165437","3.2462","0.649","2.5972","normal","True","True","False"
"2026/6/26 13:08:42","276.599","276.599","17","10.726","0.451","12.82","94","17","1.17233","1.17233","0.234467","0.234467","0","2","2","14","0","0","4236.83","26","63","2","0.499","3.558","0.007","1318.7","1491.37","2426.25","17.215","412.423","0.004","0","26232","392","4","0","0","16384","0","1110","0","1110","1110","17","17","41","17","1161","17","1110","0","2322","34","34","17","1161","3","1110","24","0","0","0","80.917","555","31","0","0.002","0.026","3.777","0.009","15.261","0","0.001","0","10.033","14.157","4.678","0.28","0.009","64","64","64","0","6","0","61636","61636","0","12","48","67","64","0","0","15","12","10","136","57","79","12","3","32196","0","0","5","15","12","0","0","4","4","0","0","4","0","4","0","0","0","0","0","12","10","0","10","0","2","10","0","0","10","0","10","10","10","0","0","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","3","124","0","66.666","16","16","172","1461","0","47","39","35","True","True","True","0.003","0.017","0","0","1920","1080","0","0","1920","1080","17","9","9","17","4","1","100","45","5","True","1634","744","24","44","46148","1038","363","165437","3.3375","1.0174","2.3201","normal","True","True","False"
"2026/6/26 13:08:44","299.774","299.774","17","10.726","0.451","9.09","78","17","1.17233","1.17233","0.234467","0.234467","0","2","2","14","0","0","4236.83","26","63","2","0.499","3.558","0.007","1318.7","1491.37","2426.25","17.215","412.423","0.004","0","26232","392","4","0","0","16384","0","1110","0","1110","1110","17","17","41","17","1161","17","1110","0","2322","34","34","17","1161","3","1110","24","0","0","0","107.134","719","4","0","0.003","0.026","4.797","0.001","15.763","0.001","0.002","0","18.589","16.972","7.981","0.432","0.01","64","64","64","0","6","0","61636","61636","0","12","48","67","64","0","0","15","12","10","136","57","79","12","3","32196","0","0","5","15","12","0","0","4","4","0","0","4","0","4","0","0","0","0","0","12","10","0","10","0","2","10","0","0","10","0","10","10","10","0","0","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","3","141","0","62.5","0","0","172","2065","0","47","39","35","True","True","True","0.002","0.017","0","0","1920","1080","0","0","1920","1080","17","8","8","17","3","1","100","45","6","True","1743","736","23","41","59389","1205","371","165437","4.0273","1.1094","2.9179","normal","True","True","False"
"2026/6/26 13:08:46","286.657","286.657","19","10.726","0.233","8","93","19","2.5974","2.5974","0.236128","0.236128","0","3","3","21","0","0","4170.63","30","47","3","0.741","3.681","0.006","1247.62","1180.71","2408.48","17.548","428.025","0.005","0","25803","478","4","0","0","16384","2","1105","0","1107","1105","17","17","43","17","1155","17","1105","0","2310","34","34","17","1155","5","1105","26","0","0","0","126.558","854","37","0","0.003","0.024","8.256","0.004","27.898","0","0.001","0","11.971","29.53","8.397","0.32","0.01","76","76","76","0","10","0","75796","75796","0","12","48","74","76","0","0","17","12","14","184","95","89","12","5","36060","0","0","9","27","12","0","0","8","8","0","4","4","0","8","0","0","0","0","0","12","14","0","14","0","2","14","0","0","14","0","13","13","14","0","0","0","4","0","0","1","23","21","0","2","0","18","4","19","0","0","4","154","0","66.666","0","15","172","2660","0","90","76","68","True","True","True","0.002","0.018","0","0","1920","1080","0","0","1920","1080","19","11","11","19","5","1","100","45","5","True","1715","736","24","43","71198","1449","387","165437","2.9364","0.8915","2.0449","normal","True","True","False"
"2026/6/26 13:08:48","282.065","282.065","19","10.726","0.233","5.347","94","19","2.5974","2.5974","0.236128","0.236128","0","3","3","21","0","0","4170.63","30","47","3","0.741","3.681","0.006","1247.62","1180.71","2408.48","17.548","428.025","0.005","0","25803","478","4","0","0","16384","2","1105","0","1107","1105","17","17","43","17","1155","17","1105","0","2310","34","34","17","1155","5","1105","26","0","0","0","181.97","1169","4","0","0.004","0.032","7.879","0.006","24.766","0.002","0.001","0","24.587","31.546","10.562","26.709","0.011","76","76","76","0","10","0","75796","75796","0","12","48","74","76","0","0","17","12","14","184","95","89","12","5","36060","0","0","10","33","12","0","0","8","8","0","4","4","0","8","0","0","0","0","0","12","14","0","14","0","2","14","0","0","14","0","13","13","14","0","0","0","4","0","0","1","23","21","0","2","0","18","4","19","0","0","4","165","0","66.666","16","16","172","3243","0","90","76","68","True","True","True","0.002","0.018","0","0","1920","1080","0","0","1920","1080","19","11","11","17","0","0","0","0","5","True","1616","744","25","46","84342","1638","390","165437","3.2935","0.8924","2.4011","normal","True","True","False"
"2026/6/26 13:08:50","320.071","320.071","19","10.726","0.237","8","78","19","1.99253","1.99253","0.249066","0.249066","0","4","4","28","0","0","3970.78","30","47","4","0.215","3.594","0.007","1284.06","1137.79","2173.83","19.007","430.207","0.01","0","26095","428","4","0","0","16384","0","1096","0","1096","1096","17","17","43","17","1146","17","1096","0","2292","34","34","17","1146","5","1096","26","0","0","0","125.239","873","43","0","0.003","0.032","7.492","0.002","26.308","0.001","0.003","0","19.167","24.318","8.793","0.449","0.01","76","76","76","0","10","0","75796","75796","0","12","48","74","76","0","0","17","12","14","184","95","89","12","5","36060","0","0","9","27","12","0","0","8","8","0","4","4","0","8","0","0","0","0","0","12","14","0","14","0","2","14","0","0","14","0","13","13","14","0","0","0","4","0","0","1","23","21","0","2","0","18","4","19","0","0","5","177","0","66.666","16","16","172","3830","0","90","76","68","True","True","True","0.002","0.018","0","0","1920","1080","0","0","1920","1080","19","11","11","19","4","1","100","46","5","True","1478","709","27","49","97491","1888","391","165437","2.8367","0.6608","2.1759","normal","True","True","False"
"2026/6/26 13:08:52","288.847","288.847","19","6.575","0.237","5.347","188","19","1.99253","1.99253","0.249066","0.249066","0","4","4","28","0","0","3970.78","30","47","4","0.215","3.594","0.007","1284.06","1137.79","2173.83","19.007","430.207","0.01","0","26095","428","4","0","0","16384","0","1096","0","1096","1096","17","17","43","17","1146","17","1096","0","2292","34","34","17","1146","5","1096","26","0","0","0","182.994","1242","4","0","0.002","0.017","10.217","0.004","30.18","0","0.001","0","23.995","30.845","10.324","29.735","0.01","76","76","76","0","10","0","75796","75796","0","12","48","74","76","0","0","17","12","14","184","95","89","12","5","36060","0","0","10","33","12","0","0","8","8","0","4","4","0","8","0","0","0","0","0","12","14","0","14","0","2","14","0","0","14","0","13","13","14","0","0","0","4","0","0","1","23","21","0","2","0","18","4","19","0","0","5","187","0","62.5","0","0","172","4422","0","95","76","68","True","True","True","0.002","0.018","0","0","1920","1080","0","0","1920","1080","19","11","11","17","0","0","0","0","5","True","1421","710","28","51","109738","2083","397","165437","3.5825","0.9097","2.6728","normal","True","True","False"
