"i","total","nonlocal","names","diag_entities","scan","fresh","missing","raw","valid","projected","drawn","w2s","sample"
"0","4","3","Standard Bot,Tracer,Friendly Bot","4","9","4","0","9","2","1","1","2","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1175,""top"":751,""width"":34,""height"":62,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"1","4","3","Standard Bot,Tracer,Friendly Bot","4","9","4","0","9","2","1","1","2","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1174,""top"":750,""width"":35,""height"":63,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"2","4","3","Standard Bot,Tracer,Friendly Bot","4","8","4","0","8","2","1","1","2","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1174,""top"":750,""width"":35,""height"":64,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"3","4","3","Standard Bot,Tracer,Friendly Bot","4","8","4","0","8","2","1","1","2","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1174,""top"":750,""width"":35,""height"":64,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"4","3","2","Tracer,Friendly Bot","3","8","3","0","8","2","1","1","1","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1175,""top"":751,""width"":34,""height"":63,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"5","3","2","Tracer,Friendly Bot","3","8","3","0","8","2","1","1","1","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1175,""top"":752,""width"":34,""height"":62,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"6","3","2","Tracer,Friendly Bot","3","7","3","0","7","2","1","1","1","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1175,""top"":752,""width"":34,""height"":62,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"7","3","2","Tracer,Friendly Bot","3","7","3","0","7","2","1","1","1","{""available"":true,""address"":""0x29F6AB76370"",""hero_id"":""0x2E00000000004E7"",""left"":1175,""top"":751,""width"":34,""height"":62,""center_x"":1192,""bottom"":814,""distance_m"":30}"
"8","4","3","Tracer,Friendly Bot,Sniper Bot","4","8","4","0","8","3","2","2","1","{""available"":true,""address"":""0x29F6AB95B58"",""hero_id"":""0x2E000000000035A"",""left"":492,""top"":614,""width"":26,""height"":48,""center_x"":506,""bottom"":661,""distance_m"":39}"
"9","4","3","Tracer,Friendly Bot,Sniper Bot","4","8","4","0","8","3","2","2","1","{""available"":true,""address"":""0x29F6AB95B58"",""hero_id"":""0x2E000000000035A"",""left"":493,""top"":614,""width"":26,""height"":47,""center_x"":506,""bottom"":661,""distance_m"":39}"
